Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;64;Pyrénées-Atlantiques;9.8
2018-02;64;Pyrénées-Atlantiques;6.3
2018-03;64;Pyrénées-Atlantiques;10.7
2018-04;64;Pyrénées-Atlantiques;14.6
2018-05;64;Pyrénées-Atlantiques;15.3
2018-06;64;Pyrénées-Atlantiques;19.5
2018-07;64;Pyrénées-Atlantiques;22.5
2018-08;64;Pyrénées-Atlantiques;21.9
2018-09;64;Pyrénées-Atlantiques;20.7
2018-10;64;Pyrénées-Atlantiques;15.0
2018-11;64;Pyrénées-Atlantiques;12.1
2018-12;64;Pyrénées-Atlantiques;10.8
2019-01;64;Pyrénées-Atlantiques;6.7
2019-02;64;Pyrénées-Atlantiques;11.2
2019-03;64;Pyrénées-Atlantiques;11.6
2019-04;64;Pyrénées-Atlantiques;13.0
2019-05;64;Pyrénées-Atlantiques;14.2
2019-06;64;Pyrénées-Atlantiques;19.0
2019-07;64;Pyrénées-Atlantiques;22.0
2019-08;64;Pyrénées-Atlantiques;21.7
2019-09;64;Pyrénées-Atlantiques;19.5
2019-10;64;Pyrénées-Atlantiques;17.3
2019-11;64;Pyrénées-Atlantiques;11.2
2019-12;64;Pyrénées-Atlantiques;10.9
2020-01;64;Pyrénées-Atlantiques;9.6
2020-02;64;Pyrénées-Atlantiques;12.2
2020-03;64;Pyrénées-Atlantiques;11.2
2020-04;64;Pyrénées-Atlantiques;15.6
2020-05;64;Pyrénées-Atlantiques;18.1
2020-06;64;Pyrénées-Atlantiques;18.6
2020-07;64;Pyrénées-Atlantiques;21.3
2020-08;64;Pyrénées-Atlantiques;22.2
2020-09;64;Pyrénées-Atlantiques;19.9
2020-10;64;Pyrénées-Atlantiques;14.8
2020-11;64;Pyrénées-Atlantiques;13.4
2020-12;64;Pyrénées-Atlantiques;9.6
2021-01;64;Pyrénées-Atlantiques;7.3
2021-02;64;Pyrénées-Atlantiques;12.5
2021-03;64;Pyrénées-Atlantiques;11.2
2021-04;64;Pyrénées-Atlantiques;12.5
2021-05;64;Pyrénées-Atlantiques;15.0
2021-06;64;Pyrénées-Atlantiques;19.4
2021-07;64;Pyrénées-Atlantiques;20.1
2021-08;64;Pyrénées-Atlantiques;20.1
2021-09;64;Pyrénées-Atlantiques;20.4
2021-10;64;Pyrénées-Atlantiques;15.7
2021-11;64;Pyrénées-Atlantiques;9.8
2021-12;64;Pyrénées-Atlantiques;11.0
2022-01;64;Pyrénées-Atlantiques;7.3
2022-02;64;Pyrénées-Atlantiques;10.1
2022-03;64;Pyrénées-Atlantiques;12.2
2022-04;64;Pyrénées-Atlantiques;12.4
2022-05;64;Pyrénées-Atlantiques;18.1
2022-06;64;Pyrénées-Atlantiques;20.8
2022-07;64;Pyrénées-Atlantiques;22.6
2022-08;64;Pyrénées-Atlantiques;23.6
2022-09;64;Pyrénées-Atlantiques;19.7
2022-10;64;Pyrénées-Atlantiques;20.1
2022-11;64;Pyrénées-Atlantiques;13.4
2022-12;64;Pyrénées-Atlantiques;11.6
2023-01;64;Pyrénées-Atlantiques;7.9
2023-02;64;Pyrénées-Atlantiques;8.0
2023-03;64;Pyrénées-Atlantiques;13.2
2023-04;64;Pyrénées-Atlantiques;13.6
2023-05;64;Pyrénées-Atlantiques;16.7
2023-06;64;Pyrénées-Atlantiques;21.4
2023-07;64;Pyrénées-Atlantiques;21.5
2023-08;64;Pyrénées-Atlantiques;22.2
2023-09;64;Pyrénées-Atlantiques;21.9
2023-10;64;Pyrénées-Atlantiques;19.1
2023-11;64;Pyrénées-Atlantiques;13.2
2023-12;64;Pyrénées-Atlantiques;10.5
2024-01;64;Pyrénées-Atlantiques;9.8
2024-02;64;Pyrénées-Atlantiques;11.3
2024-03;64;Pyrénées-Atlantiques;12.5
2024-04;64;Pyrénées-Atlantiques;13.9
2024-05;64;Pyrénées-Atlantiques;15.6
2024-06;64;Pyrénées-Atlantiques;18.9
2024-07;64;Pyrénées-Atlantiques;21.4
2024-08;64;Pyrénées-Atlantiques;22.1
2024-09;64;Pyrénées-Atlantiques;17.7
2024-10;64;Pyrénées-Atlantiques;17.3
2024-11;64;Pyrénées-Atlantiques;13.9
2024-12;64;Pyrénées-Atlantiques;9.4
2025-01;64;Pyrénées-Atlantiques;9.8
2025-02;64;Pyrénées-Atlantiques;11.2
2025-03;64;Pyrénées-Atlantiques;11.6
2025-04;64;Pyrénées-Atlantiques;14.9
2025-05;64;Pyrénées-Atlantiques;16.6
2025-06;64;Pyrénées-Atlantiques;21.7
2025-07;64;Pyrénées-Atlantiques;21.6
2025-08;64;Pyrénées-Atlantiques;22.8
2025-09;64;Pyrénées-Atlantiques;19.2
