Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;65;Hautes-Pyrénées;7.5
2018-02;65;Hautes-Pyrénées;4.3
2018-03;65;Hautes-Pyrénées;8.1
2018-04;65;Hautes-Pyrénées;12.7
2018-05;65;Hautes-Pyrénées;14.3
2018-06;65;Hautes-Pyrénées;18.8
2018-07;65;Hautes-Pyrénées;21.7
2018-08;65;Hautes-Pyrénées;21.1
2018-09;65;Hautes-Pyrénées;19.8
2018-10;65;Hautes-Pyrénées;13.3
2018-11;65;Hautes-Pyrénées;9.1
2018-12;65;Hautes-Pyrénées;8.8
2019-01;65;Hautes-Pyrénées;4.1
2019-02;65;Hautes-Pyrénées;8.7
2019-03;65;Hautes-Pyrénées;9.5
2019-04;65;Hautes-Pyrénées;11.0
2019-05;65;Hautes-Pyrénées;13.1
2019-06;65;Hautes-Pyrénées;18.5
2019-07;65;Hautes-Pyrénées;21.9
2019-08;65;Hautes-Pyrénées;20.9
2019-09;65;Hautes-Pyrénées;18.3
2019-10;65;Hautes-Pyrénées;15.4
2019-11;65;Hautes-Pyrénées;8.3
2019-12;65;Hautes-Pyrénées;8.8
2020-01;65;Hautes-Pyrénées;7.0
2020-02;65;Hautes-Pyrénées;10.0
2020-03;65;Hautes-Pyrénées;9.2
2020-04;65;Hautes-Pyrénées;13.9
2020-05;65;Hautes-Pyrénées;17.2
2020-06;65;Hautes-Pyrénées;17.6
2020-07;65;Hautes-Pyrénées;20.7
2020-08;65;Hautes-Pyrénées;21.6
2020-09;65;Hautes-Pyrénées;19.0
2020-10;65;Hautes-Pyrénées;12.8
2020-11;65;Hautes-Pyrénées;11.0
2020-12;65;Hautes-Pyrénées;7.2
2021-01;65;Hautes-Pyrénées;5.1
2021-02;65;Hautes-Pyrénées;9.4
2021-03;65;Hautes-Pyrénées;9.3
2021-04;65;Hautes-Pyrénées;10.8
2021-05;65;Hautes-Pyrénées;14.1
2021-06;65;Hautes-Pyrénées;19.2
2021-07;65;Hautes-Pyrénées;19.2
2021-08;65;Hautes-Pyrénées;19.6
2021-09;65;Hautes-Pyrénées;19.0
2021-10;65;Hautes-Pyrénées;13.7
2021-11;65;Hautes-Pyrénées;7.5
2021-12;65;Hautes-Pyrénées;8.7
2022-01;65;Hautes-Pyrénées;5.3
2022-02;65;Hautes-Pyrénées;8.3
2022-03;65;Hautes-Pyrénées;9.6
2022-04;65;Hautes-Pyrénées;11.1
2022-05;65;Hautes-Pyrénées;18.1
2022-06;65;Hautes-Pyrénées;20.6
2022-07;65;Hautes-Pyrénées;22.4
2022-08;65;Hautes-Pyrénées;23.6
2022-09;65;Hautes-Pyrénées;19.0
2022-10;65;Hautes-Pyrénées;18.5
2022-11;65;Hautes-Pyrénées;11.0
2022-12;65;Hautes-Pyrénées;8.5
2023-01;65;Hautes-Pyrénées;5.3
2023-02;65;Hautes-Pyrénées;5.8
2023-03;65;Hautes-Pyrénées;11.2
2023-04;65;Hautes-Pyrénées;12.5
2023-05;65;Hautes-Pyrénées;15.4
2023-06;65;Hautes-Pyrénées;20.0
2023-07;65;Hautes-Pyrénées;20.7
2023-08;65;Hautes-Pyrénées;21.5
2023-09;65;Hautes-Pyrénées;20.6
2023-10;65;Hautes-Pyrénées;17.6
2023-11;65;Hautes-Pyrénées;10.8
2023-12;65;Hautes-Pyrénées;8.0
2024-01;65;Hautes-Pyrénées;7.4
2024-02;65;Hautes-Pyrénées;9.1
2024-03;65;Hautes-Pyrénées;10.4
2024-04;65;Hautes-Pyrénées;12.1
2024-05;65;Hautes-Pyrénées;14.2
2024-06;65;Hautes-Pyrénées;18.3
2024-07;65;Hautes-Pyrénées;21.2
2024-08;65;Hautes-Pyrénées;21.4
2024-09;65;Hautes-Pyrénées;16.2
2024-10;65;Hautes-Pyrénées;15.2
2024-11;65;Hautes-Pyrénées;11.8
2024-12;65;Hautes-Pyrénées;6.9
2025-01;65;Hautes-Pyrénées;7.0
2025-02;65;Hautes-Pyrénées;8.4
2025-03;65;Hautes-Pyrénées;9.1
2025-04;65;Hautes-Pyrénées;12.8
2025-05;65;Hautes-Pyrénées;15.5
2025-06;65;Hautes-Pyrénées;21.5
2025-07;65;Hautes-Pyrénées;21.0
2025-08;65;Hautes-Pyrénées;23.0
2025-09;65;Hautes-Pyrénées;17.4
