Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;66;Pyrénées-Orientales;11.5
2018-02;66;Pyrénées-Orientales;7.4
2018-03;66;Pyrénées-Orientales;11.1
2018-04;66;Pyrénées-Orientales;15.1
2018-05;66;Pyrénées-Orientales;17.7
2018-06;66;Pyrénées-Orientales;22.4
2018-07;66;Pyrénées-Orientales;26.2
2018-08;66;Pyrénées-Orientales;26.2
2018-09;66;Pyrénées-Orientales;22.7
2018-10;66;Pyrénées-Orientales;17.5
2018-11;66;Pyrénées-Orientales;13.3
2018-12;66;Pyrénées-Orientales;12.3
2019-01;66;Pyrénées-Orientales;8.6
2019-02;66;Pyrénées-Orientales;10.6
2019-03;66;Pyrénées-Orientales;13.1
2019-04;66;Pyrénées-Orientales;14.0
2019-05;66;Pyrénées-Orientales;16.5
2019-06;66;Pyrénées-Orientales;21.2
2019-07;66;Pyrénées-Orientales;26.1
2019-08;66;Pyrénées-Orientales;25.0
2019-09;66;Pyrénées-Orientales;21.7
2019-10;66;Pyrénées-Orientales;18.3
2019-11;66;Pyrénées-Orientales;12.0
2019-12;66;Pyrénées-Orientales;12.3
2020-01;66;Pyrénées-Orientales;10.2
2020-02;66;Pyrénées-Orientales;12.8
2020-03;66;Pyrénées-Orientales;11.9
2020-04;66;Pyrénées-Orientales;14.6
2020-05;66;Pyrénées-Orientales;19.7
2020-06;66;Pyrénées-Orientales;21.4
2020-07;66;Pyrénées-Orientales;25.1
2020-08;66;Pyrénées-Orientales;25.0
2020-09;66;Pyrénées-Orientales;21.3
2020-10;66;Pyrénées-Orientales;15.7
2020-11;66;Pyrénées-Orientales;13.5
2020-12;66;Pyrénées-Orientales;9.6
2021-01;66;Pyrénées-Orientales;8.4
2021-02;66;Pyrénées-Orientales;11.9
2021-03;66;Pyrénées-Orientales;12.0
2021-04;66;Pyrénées-Orientales;13.4
2021-05;66;Pyrénées-Orientales;17.3
2021-06;66;Pyrénées-Orientales;24.0
2021-07;66;Pyrénées-Orientales;24.7
2021-08;66;Pyrénées-Orientales;24.1
2021-09;66;Pyrénées-Orientales;22.2
2021-10;66;Pyrénées-Orientales;17.5
2021-11;66;Pyrénées-Orientales;12.0
2021-12;66;Pyrénées-Orientales;10.6
2022-01;66;Pyrénées-Orientales;9.2
2022-02;66;Pyrénées-Orientales;11.5
2022-03;66;Pyrénées-Orientales;11.8
2022-04;66;Pyrénées-Orientales;14.5
2022-05;66;Pyrénées-Orientales;20.1
2022-06;66;Pyrénées-Orientales;24.5
2022-07;66;Pyrénées-Orientales;26.9
2022-08;66;Pyrénées-Orientales;27.2
2022-09;66;Pyrénées-Orientales;22.3
2022-10;66;Pyrénées-Orientales;20.5
2022-11;66;Pyrénées-Orientales;14.7
2022-12;66;Pyrénées-Orientales;11.1
2023-01;66;Pyrénées-Orientales;8.9
2023-02;66;Pyrénées-Orientales;10.0
2023-03;66;Pyrénées-Orientales;13.1
2023-04;66;Pyrénées-Orientales;15.7
2023-05;66;Pyrénées-Orientales;18.7
2023-06;66;Pyrénées-Orientales;24.3
2023-07;66;Pyrénées-Orientales;25.8
2023-08;66;Pyrénées-Orientales;25.4
2023-09;66;Pyrénées-Orientales;22.6
2023-10;66;Pyrénées-Orientales;20.1
2023-11;66;Pyrénées-Orientales;14.3
2023-12;66;Pyrénées-Orientales;11.8
2024-01;66;Pyrénées-Orientales;10.3
2024-02;66;Pyrénées-Orientales;12.9
2024-03;66;Pyrénées-Orientales;14.2
2024-04;66;Pyrénées-Orientales;14.9
2024-05;66;Pyrénées-Orientales;17.4
2024-06;66;Pyrénées-Orientales;22.0
2024-07;66;Pyrénées-Orientales;25.1
2024-08;66;Pyrénées-Orientales;26.5
2024-09;66;Pyrénées-Orientales;20.8
2024-10;66;Pyrénées-Orientales;18.3
2024-11;66;Pyrénées-Orientales;14.6
2024-12;66;Pyrénées-Orientales;10.5
2025-01;66;Pyrénées-Orientales;10.1
2025-02;66;Pyrénées-Orientales;11.0
2025-03;66;Pyrénées-Orientales;12.0
2025-04;66;Pyrénées-Orientales;15.4
2025-05;66;Pyrénées-Orientales;18.9
2025-06;66;Pyrénées-Orientales;25.6
2025-07;66;Pyrénées-Orientales;25.9
2025-08;66;Pyrénées-Orientales;26.1
2025-09;66;Pyrénées-Orientales;20.7
