Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;67;Bas-Rhin;6.6
2018-02;67;Bas-Rhin;1.0
2018-03;67;Bas-Rhin;5.5
2018-04;67;Bas-Rhin;14.5
2018-05;67;Bas-Rhin;17.7
2018-06;67;Bas-Rhin;20.3
2018-07;67;Bas-Rhin;22.7
2018-08;67;Bas-Rhin;22.4
2018-09;67;Bas-Rhin;17.7
2018-10;67;Bas-Rhin;12.5
2018-11;67;Bas-Rhin;6.7
2018-12;67;Bas-Rhin;5.2
2019-01;67;Bas-Rhin;2.2
2019-02;67;Bas-Rhin;5.9
2019-03;67;Bas-Rhin;9.3
2019-04;67;Bas-Rhin;11.3
2019-05;67;Bas-Rhin;13.5
2019-06;67;Bas-Rhin;21.2
2019-07;67;Bas-Rhin;22.0
2019-08;67;Bas-Rhin;21.3
2019-09;67;Bas-Rhin;16.9
2019-10;67;Bas-Rhin;13.5
2019-11;67;Bas-Rhin;6.4
2019-12;67;Bas-Rhin;5.0
2020-01;67;Bas-Rhin;4.5
2020-02;67;Bas-Rhin;7.7
2020-03;67;Bas-Rhin;7.9
2020-04;67;Bas-Rhin;13.9
2020-05;67;Bas-Rhin;15.1
2020-06;67;Bas-Rhin;18.8
2020-07;67;Bas-Rhin;21.1
2020-08;67;Bas-Rhin;22.3
2020-09;67;Bas-Rhin;18.0
2020-10;67;Bas-Rhin;11.8
2020-11;67;Bas-Rhin;7.0
2020-12;67;Bas-Rhin;4.8
2021-01;67;Bas-Rhin;2.5
2021-02;67;Bas-Rhin;5.1
2021-03;67;Bas-Rhin;7.3
2021-04;67;Bas-Rhin;9.2
2021-05;67;Bas-Rhin;12.7
2021-06;67;Bas-Rhin;21.3
2021-07;67;Bas-Rhin;19.9
2021-08;67;Bas-Rhin;19.0
2021-09;67;Bas-Rhin;17.4
2021-10;67;Bas-Rhin;11.1
2021-11;67;Bas-Rhin;5.1
2021-12;67;Bas-Rhin;4.9
2022-01;67;Bas-Rhin;3.1
2022-02;67;Bas-Rhin;6.6
2022-03;67;Bas-Rhin;8.0
2022-04;67;Bas-Rhin;10.9
2022-05;67;Bas-Rhin;18.1
2022-06;67;Bas-Rhin;21.1
2022-07;67;Bas-Rhin;22.4
2022-08;67;Bas-Rhin;23.2
2022-09;67;Bas-Rhin;16.4
2022-10;67;Bas-Rhin;15.4
2022-11;67;Bas-Rhin;8.9
2022-12;67;Bas-Rhin;3.7
2023-01;67;Bas-Rhin;5.1
2023-02;67;Bas-Rhin;5.1
2023-03;67;Bas-Rhin;8.8
2023-04;67;Bas-Rhin;10.4
2023-05;67;Bas-Rhin;16.3
2023-06;67;Bas-Rhin;21.9
2023-07;67;Bas-Rhin;21.4
2023-08;67;Bas-Rhin;21.4
2023-09;67;Bas-Rhin;20.3
2023-10;67;Bas-Rhin;14.1
2023-11;67;Bas-Rhin;7.8
2023-12;67;Bas-Rhin;6.1
2024-01;67;Bas-Rhin;3.2
2024-02;67;Bas-Rhin;8.6
2024-03;67;Bas-Rhin;9.7
2024-04;67;Bas-Rhin;12.2
2024-05;67;Bas-Rhin;16.3
2024-06;67;Bas-Rhin;19.5
2024-07;67;Bas-Rhin;21.2
2024-08;67;Bas-Rhin;22.4
2024-09;67;Bas-Rhin;17.1
2024-10;67;Bas-Rhin;13.1
2024-11;67;Bas-Rhin;6.8
2024-12;67;Bas-Rhin;3.8
2025-01;67;Bas-Rhin;4.0
2025-02;67;Bas-Rhin;4.2
2025-03;67;Bas-Rhin;8.4
2025-04;67;Bas-Rhin;12.6
2025-05;67;Bas-Rhin;16.2
2025-06;67;Bas-Rhin;21.8
2025-07;67;Bas-Rhin;21.0
2025-08;67;Bas-Rhin;20.9
2025-09;67;Bas-Rhin;16.4
