Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;68;Haut-Rhin;6.6
2018-02;68;Haut-Rhin;0.7
2018-03;68;Haut-Rhin;5.3
2018-04;68;Haut-Rhin;14.3
2018-05;68;Haut-Rhin;17.0
2018-06;68;Haut-Rhin;19.8
2018-07;68;Haut-Rhin;22.0
2018-08;68;Haut-Rhin;22.3
2018-09;68;Haut-Rhin;17.8
2018-10;68;Haut-Rhin;12.0
2018-11;68;Haut-Rhin;6.4
2018-12;68;Haut-Rhin;5.2
2019-01;68;Haut-Rhin;2.0
2019-02;68;Haut-Rhin;5.6
2019-03;68;Haut-Rhin;8.7
2019-04;68;Haut-Rhin;10.4
2019-05;68;Haut-Rhin;12.6
2019-06;68;Haut-Rhin;20.5
2019-07;68;Haut-Rhin;21.9
2019-08;68;Haut-Rhin;20.7
2019-09;68;Haut-Rhin;16.4
2019-10;68;Haut-Rhin;13.3
2019-11;68;Haut-Rhin;6.5
2019-12;68;Haut-Rhin;4.9
2020-01;68;Haut-Rhin;4.2
2020-02;68;Haut-Rhin;7.9
2020-03;68;Haut-Rhin;7.6
2020-04;68;Haut-Rhin;13.4
2020-05;68;Haut-Rhin;14.7
2020-06;68;Haut-Rhin;18.4
2020-07;68;Haut-Rhin;21.1
2020-08;68;Haut-Rhin;21.9
2020-09;68;Haut-Rhin;17.6
2020-10;68;Haut-Rhin;11.6
2020-11;68;Haut-Rhin;7.4
2020-12;68;Haut-Rhin;4.7
2021-01;68;Haut-Rhin;2.1
2021-02;68;Haut-Rhin;5.4
2021-03;68;Haut-Rhin;6.9
2021-04;68;Haut-Rhin;8.8
2021-05;68;Haut-Rhin;12.7
2021-06;68;Haut-Rhin;20.6
2021-07;68;Haut-Rhin;19.7
2021-08;68;Haut-Rhin;18.7
2021-09;68;Haut-Rhin;17.3
2021-10;68;Haut-Rhin;11.2
2021-11;68;Haut-Rhin;4.7
2021-12;68;Haut-Rhin;4.3
2022-01;68;Haut-Rhin;2.6
2022-02;68;Haut-Rhin;6.3
2022-03;68;Haut-Rhin;7.6
2022-04;68;Haut-Rhin;10.5
2022-05;68;Haut-Rhin;17.3
2022-06;68;Haut-Rhin;21.1
2022-07;68;Haut-Rhin;22.1
2022-08;68;Haut-Rhin;22.2
2022-09;68;Haut-Rhin;16.2
2022-10;68;Haut-Rhin;15.9
2022-11;68;Haut-Rhin;8.8
2022-12;68;Haut-Rhin;3.7
2023-01;68;Haut-Rhin;4.8
2023-02;68;Haut-Rhin;5.0
2023-03;68;Haut-Rhin;8.7
2023-04;68;Haut-Rhin;10.1
2023-05;68;Haut-Rhin;15.8
2023-06;68;Haut-Rhin;21.0
2023-07;68;Haut-Rhin;21.3
2023-08;68;Haut-Rhin;21.7
2023-09;68;Haut-Rhin;20.1
2023-10;68;Haut-Rhin;14.6
2023-11;68;Haut-Rhin;7.8
2023-12;68;Haut-Rhin;6.1
2024-01;68;Haut-Rhin;3.0
2024-02;68;Haut-Rhin;8.6
2024-03;68;Haut-Rhin;9.6
2024-04;68;Haut-Rhin;11.6
2024-05;68;Haut-Rhin;15.8
2024-06;68;Haut-Rhin;19.3
2024-07;68;Haut-Rhin;21.4
2024-08;68;Haut-Rhin;22.4
2024-09;68;Haut-Rhin;16.4
2024-10;68;Haut-Rhin;13.6
2024-11;68;Haut-Rhin;6.3
2024-12;68;Haut-Rhin;3.7
2025-01;68;Haut-Rhin;3.7
2025-02;68;Haut-Rhin;4.5
2025-03;68;Haut-Rhin;8.3
2025-04;68;Haut-Rhin;11.9
2025-05;68;Haut-Rhin;15.4
2025-06;68;Haut-Rhin;21.7
2025-07;68;Haut-Rhin;20.7
2025-08;68;Haut-Rhin;20.9
2025-09;68;Haut-Rhin;16.5
