Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;69;Rhône;8.2
2018-02;69;Rhône;2.4
2018-03;69;Rhône;8.5
2018-04;69;Rhône;15.0
2018-05;69;Rhône;17.5
2018-06;69;Rhône;21.1
2018-07;69;Rhône;24.2
2018-08;69;Rhône;24.0
2018-09;69;Rhône;20.4
2018-10;69;Rhône;14.1
2018-11;69;Rhône;9.1
2018-12;69;Rhône;6.3
2019-01;69;Rhône;3.3
2019-02;69;Rhône;7.1
2019-03;69;Rhône;10.2
2019-04;69;Rhône;12.2
2019-05;69;Rhône;14.3
2019-06;69;Rhône;21.8
2019-07;69;Rhône;24.8
2019-08;69;Rhône;22.6
2019-09;69;Rhône;19.1
2019-10;69;Rhône;15.5
2019-11;69;Rhône;8.4
2019-12;69;Rhône;7.3
2020-01;69;Rhône;5.7
2020-02;69;Rhône;8.9
2020-03;69;Rhône;9.5
2020-04;69;Rhône;15.2
2020-05;69;Rhône;17.2
2020-06;69;Rhône;19.9
2020-07;69;Rhône;23.9
2020-08;69;Rhône;23.9
2020-09;69;Rhône;19.8
2020-10;69;Rhône;12.9
2020-11;69;Rhône;9.6
2020-12;69;Rhône;6.2
2021-01;69;Rhône;3.4
2021-02;69;Rhône;8.7
2021-03;69;Rhône;8.8
2021-04;69;Rhône;10.8
2021-05;69;Rhône;14.3
2021-06;69;Rhône;21.7
2021-07;69;Rhône;21.2
2021-08;69;Rhône;20.5
2021-09;69;Rhône;19.9
2021-10;69;Rhône;12.9
2021-11;69;Rhône;6.5
2021-12;69;Rhône;4.9
2022-01;69;Rhône;2.3
2022-02;69;Rhône;7.3
2022-03;69;Rhône;9.9
2022-04;69;Rhône;11.9
2022-05;69;Rhône;19.1
2022-06;69;Rhône;23.0
2022-07;69;Rhône;24.2
2022-08;69;Rhône;24.6
2022-09;69;Rhône;18.5
2022-10;69;Rhône;17.7
2022-11;69;Rhône;10.4
2022-12;69;Rhône;6.1
2023-01;69;Rhône;5.5
2023-02;69;Rhône;6.1
2023-03;69;Rhône;10.0
2023-04;69;Rhône;11.4
2023-05;69;Rhône;16.6
2023-06;69;Rhône;22.3
2023-07;69;Rhône;23.9
2023-08;69;Rhône;24.3
2023-09;69;Rhône;22.0
2023-10;69;Rhône;16.9
2023-11;69;Rhône;9.2
2023-12;69;Rhône;6.5
2024-01;69;Rhône;5.4
2024-02;69;Rhône;8.9
2024-03;69;Rhône;10.9
2024-04;69;Rhône;12.5
2024-05;69;Rhône;16.0
2024-06;69;Rhône;20.4
2024-07;69;Rhône;23.2
2024-08;69;Rhône;24.3
2024-09;69;Rhône;17.3
2024-10;69;Rhône;15.9
2024-11;69;Rhône;8.7
2024-12;69;Rhône;3.7
2025-01;69;Rhône;5.2
2025-02;69;Rhône;6.7
2025-03;69;Rhône;9.6
2025-04;69;Rhône;13.6
2025-05;69;Rhône;16.3
2025-06;69;Rhône;23.6
2025-07;69;Rhône;22.6
2025-08;69;Rhône;23.6
2025-09;69;Rhône;17.5
