Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;70;Haute-Saône;6.3
2018-02;70;Haute-Saône;1.1
2018-03;70;Haute-Saône;5.3
2018-04;70;Haute-Saône;12.9
2018-05;70;Haute-Saône;16.0
2018-06;70;Haute-Saône;18.9
2018-07;70;Haute-Saône;22.0
2018-08;70;Haute-Saône;21.1
2018-09;70;Haute-Saône;16.8
2018-10;70;Haute-Saône;11.8
2018-11;70;Haute-Saône;7.5
2018-12;70;Haute-Saône;4.5
2019-01;70;Haute-Saône;1.6
2019-02;70;Haute-Saône;5.5
2019-03;70;Haute-Saône;7.8
2019-04;70;Haute-Saône;9.9
2019-05;70;Haute-Saône;12.0
2019-06;70;Haute-Saône;19.9
2019-07;70;Haute-Saône;21.1
2019-08;70;Haute-Saône;20.0
2019-09;70;Haute-Saône;15.8
2019-10;70;Haute-Saône;13.0
2019-11;70;Haute-Saône;6.5
2019-12;70;Haute-Saône;4.9
2020-01;70;Haute-Saône;4.2
2020-02;70;Haute-Saône;7.2
2020-03;70;Haute-Saône;7.1
2020-04;70;Haute-Saône;12.7
2020-05;70;Haute-Saône;14.0
2020-06;70;Haute-Saône;17.3
2020-07;70;Haute-Saône;20.0
2020-08;70;Haute-Saône;21.4
2020-09;70;Haute-Saône;17.3
2020-10;70;Haute-Saône;11.0
2020-11;70;Haute-Saône;8.1
2020-12;70;Haute-Saône;4.6
2021-01;70;Haute-Saône;2.1
2021-02;70;Haute-Saône;5.4
2021-03;70;Haute-Saône;6.1
2021-04;70;Haute-Saône;8.0
2021-05;70;Haute-Saône;11.7
2021-06;70;Haute-Saône;19.5
2021-07;70;Haute-Saône;18.7
2021-08;70;Haute-Saône;17.7
2021-09;70;Haute-Saône;16.9
2021-10;70;Haute-Saône;10.7
2021-11;70;Haute-Saône;4.2
2021-12;70;Haute-Saône;3.5
2022-01;70;Haute-Saône;1.6
2022-02;70;Haute-Saône;5.1
2022-03;70;Haute-Saône;7.9
2022-04;70;Haute-Saône;9.7
2022-05;70;Haute-Saône;16.0
2022-06;70;Haute-Saône;20.0
2022-07;70;Haute-Saône;21.0
2022-08;70;Haute-Saône;21.6
2022-09;70;Haute-Saône;15.5
2022-10;70;Haute-Saône;15.2
2022-11;70;Haute-Saône;8.6
2022-12;70;Haute-Saône;3.6
2023-01;70;Haute-Saône;4.5
2023-02;70;Haute-Saône;4.7
2023-03;70;Haute-Saône;7.7
2023-04;70;Haute-Saône;9.4
2023-05;70;Haute-Saône;14.9
2023-06;70;Haute-Saône;20.3
2023-07;70;Haute-Saône;20.3
2023-08;70;Haute-Saône;20.5
2023-09;70;Haute-Saône;19.7
2023-10;70;Haute-Saône;13.8
2023-11;70;Haute-Saône;7.4
2023-12;70;Haute-Saône;5.3
2024-01;70;Haute-Saône;3.2
2024-02;70;Haute-Saône;7.6
2024-03;70;Haute-Saône;9.0
2024-04;70;Haute-Saône;10.5
2024-05;70;Haute-Saône;14.7
2024-06;70;Haute-Saône;18.0
2024-07;70;Haute-Saône;20.4
2024-08;70;Haute-Saône;21.4
2024-09;70;Haute-Saône;15.7
2024-10;70;Haute-Saône;13.2
2024-11;70;Haute-Saône;6.3
2024-12;70;Haute-Saône;3.0
2025-01;70;Haute-Saône;3.4
2025-02;70;Haute-Saône;4.5
2025-03;70;Haute-Saône;7.8
2025-04;70;Haute-Saône;11.8
2025-05;70;Haute-Saône;14.8
2025-06;70;Haute-Saône;21.0
2025-07;70;Haute-Saône;19.8
2025-08;70;Haute-Saône;20.6
2025-09;70;Haute-Saône;15.7
