Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;71;Saône-et-Loire;7.6
2018-02;71;Saône-et-Loire;1.8
2018-03;71;Saône-et-Loire;7.7
2018-04;71;Saône-et-Loire;13.6
2018-05;71;Saône-et-Loire;16.3
2018-06;71;Saône-et-Loire;19.8
2018-07;71;Saône-et-Loire;22.9
2018-08;71;Saône-et-Loire;22.5
2018-09;71;Saône-et-Loire;18.7
2018-10;71;Saône-et-Loire;13.4
2018-11;71;Saône-et-Loire;8.2
2018-12;71;Saône-et-Loire;5.9
2019-01;71;Saône-et-Loire;2.8
2019-02;71;Saône-et-Loire;6.3
2019-03;71;Saône-et-Loire;9.2
2019-04;71;Saône-et-Loire;10.9
2019-05;71;Saône-et-Loire;13.2
2019-06;71;Saône-et-Loire;20.1
2019-07;71;Saône-et-Loire;23.2
2019-08;71;Saône-et-Loire;21.5
2019-09;71;Saône-et-Loire;17.8
2019-10;71;Saône-et-Loire;14.3
2019-11;71;Saône-et-Loire;7.7
2019-12;71;Saône-et-Loire;6.9
2020-01;71;Saône-et-Loire;5.1
2020-02;71;Saône-et-Loire;8.3
2020-03;71;Saône-et-Loire;8.4
2020-04;71;Saône-et-Loire;13.5
2020-05;71;Saône-et-Loire;15.7
2020-06;71;Saône-et-Loire;18.6
2020-07;71;Saône-et-Loire;21.9
2020-08;71;Saône-et-Loire;22.6
2020-09;71;Saône-et-Loire;18.6
2020-10;71;Saône-et-Loire;11.8
2020-11;71;Saône-et-Loire;8.7
2020-12;71;Saône-et-Loire;5.7
2021-01;71;Saône-et-Loire;3.3
2021-02;71;Saône-et-Loire;7.3
2021-03;71;Saône-et-Loire;7.5
2021-04;71;Saône-et-Loire;9.6
2021-05;71;Saône-et-Loire;12.8
2021-06;71;Saône-et-Loire;20.0
2021-07;71;Saône-et-Loire;19.8
2021-08;71;Saône-et-Loire;19.2
2021-09;71;Saône-et-Loire;18.5
2021-10;71;Saône-et-Loire;11.8
2021-11;71;Saône-et-Loire;5.8
2021-12;71;Saône-et-Loire;4.9
2022-01;71;Saône-et-Loire;2.3
2022-02;71;Saône-et-Loire;6.7
2022-03;71;Saône-et-Loire;9.0
2022-04;71;Saône-et-Loire;11.0
2022-05;71;Saône-et-Loire;17.6
2022-06;71;Saône-et-Loire;21.3
2022-07;71;Saône-et-Loire;22.3
2022-08;71;Saône-et-Loire;23.1
2022-09;71;Saône-et-Loire;17.1
2022-10;71;Saône-et-Loire;16.8
2022-11;71;Saône-et-Loire;9.6
2022-12;71;Saône-et-Loire;5.2
2023-01;71;Saône-et-Loire;5.3
2023-02;71;Saône-et-Loire;5.5
2023-03;71;Saône-et-Loire;9.0
2023-04;71;Saône-et-Loire;10.8
2023-05;71;Saône-et-Loire;15.8
2023-06;71;Saône-et-Loire;21.2
2023-07;71;Saône-et-Loire;22.0
2023-08;71;Saône-et-Loire;22.5
2023-09;71;Saône-et-Loire;20.5
2023-10;71;Saône-et-Loire;15.1
2023-11;71;Saône-et-Loire;8.6
2023-12;71;Saône-et-Loire;6.3
2024-01;71;Saône-et-Loire;4.6
2024-02;71;Saône-et-Loire;8.4
2024-03;71;Saône-et-Loire;10.4
2024-04;71;Saône-et-Loire;11.3
2024-05;71;Saône-et-Loire;14.9
2024-06;71;Saône-et-Loire;19.0
2024-07;71;Saône-et-Loire;21.4
2024-08;71;Saône-et-Loire;22.2
2024-09;71;Saône-et-Loire;16.2
2024-10;71;Saône-et-Loire;14.9
2024-11;71;Saône-et-Loire;8.3
2024-12;71;Saône-et-Loire;3.8
2025-01;71;Saône-et-Loire;4.3
2025-02;71;Saône-et-Loire;5.9
2025-03;71;Saône-et-Loire;8.6
2025-04;71;Saône-et-Loire;12.5
2025-05;71;Saône-et-Loire;15.4
2025-06;71;Saône-et-Loire;21.8
2025-07;71;Saône-et-Loire;21.6
2025-08;71;Saône-et-Loire;21.8
2025-09;71;Saône-et-Loire;16.3
