Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;72;Sarthe;8.4
2018-02;72;Sarthe;3.2
2018-03;72;Sarthe;8.2
2018-04;72;Sarthe;13.6
2018-05;72;Sarthe;16.5
2018-06;72;Sarthe;19.9
2018-07;72;Sarthe;23.3
2018-08;72;Sarthe;21.2
2018-09;72;Sarthe;17.5
2018-10;72;Sarthe;13.7
2018-11;72;Sarthe;8.8
2018-12;72;Sarthe;7.7
2019-01;72;Sarthe;5.0
2019-02;72;Sarthe;7.4
2019-03;72;Sarthe;9.6
2019-04;72;Sarthe;11.7
2019-05;72;Sarthe;13.7
2019-06;72;Sarthe;19.6
2019-07;72;Sarthe;22.6
2019-08;72;Sarthe;20.5
2019-09;72;Sarthe;17.4
2019-10;72;Sarthe;14.1
2019-11;72;Sarthe;8.2
2019-12;72;Sarthe;7.6
2020-01;72;Sarthe;7.3
2020-02;72;Sarthe;9.4
2020-03;72;Sarthe;9.3
2020-04;72;Sarthe;14.7
2020-05;72;Sarthe;16.5
2020-06;72;Sarthe;18.1
2020-07;72;Sarthe;20.4
2020-08;72;Sarthe;21.7
2020-09;72;Sarthe;18.9
2020-10;72;Sarthe;12.9
2020-11;72;Sarthe;10.1
2020-12;72;Sarthe;7.2
2021-01;72;Sarthe;4.9
2021-02;72;Sarthe;7.3
2021-03;72;Sarthe;8.4
2021-04;72;Sarthe;10.1
2021-05;72;Sarthe;13.2
2021-06;72;Sarthe;19.4
2021-07;72;Sarthe;20.1
2021-08;72;Sarthe;18.8
2021-09;72;Sarthe;18.9
2021-10;72;Sarthe;12.7
2021-11;72;Sarthe;7.1
2021-12;72;Sarthe;7.1
2022-01;72;Sarthe;5.2
2022-02;72;Sarthe;7.8
2022-03;72;Sarthe;10.4
2022-04;72;Sarthe;11.9
2022-05;72;Sarthe;17.0
2022-06;72;Sarthe;19.8
2022-07;72;Sarthe;22.8
2022-08;72;Sarthe;22.9
2022-09;72;Sarthe;17.5
2022-10;72;Sarthe;16.6
2022-11;72;Sarthe;10.4
2022-12;72;Sarthe;5.7
2023-01;72;Sarthe;6.5
2023-02;72;Sarthe;6.8
2023-03;72;Sarthe;10.0
2023-04;72;Sarthe;11.5
2023-05;72;Sarthe;16.2
2023-06;72;Sarthe;21.9
2023-07;72;Sarthe;20.4
2023-08;72;Sarthe;20.6
2023-09;72;Sarthe;20.8
2023-10;72;Sarthe;15.4
2023-11;72;Sarthe;10.0
2023-12;72;Sarthe;8.3
2024-01;72;Sarthe;5.7
2024-02;72;Sarthe;9.6
2024-03;72;Sarthe;9.9
2024-04;72;Sarthe;12.1
2024-05;72;Sarthe;15.3
2024-06;72;Sarthe;17.8
2024-07;72;Sarthe;20.4
2024-08;72;Sarthe;20.6
2024-09;72;Sarthe;16.3
2024-10;72;Sarthe;14.4
2024-11;72;Sarthe;9.1
2024-12;72;Sarthe;6.8
2025-01;72;Sarthe;4.9
2025-02;72;Sarthe;6.3
2025-03;72;Sarthe;9.6
2025-04;72;Sarthe;13.8
2025-05;72;Sarthe;16.5
2025-06;72;Sarthe;21.9
2025-07;72;Sarthe;21.7
2025-08;72;Sarthe;21.3
2025-09;72;Sarthe;16.9
