Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;73;Savoie;4.9
2018-02;73;Savoie;1.6
2018-03;73;Savoie;6.0
2018-04;73;Savoie;13.4
2018-05;73;Savoie;16.0
2018-06;73;Savoie;20.3
2018-07;73;Savoie;22.5
2018-08;73;Savoie;21.8
2018-09;73;Savoie;18.8
2018-10;73;Savoie;13.2
2018-11;73;Savoie;7.9
2018-12;73;Savoie;4.1
2019-01;73;Savoie;0.8
2019-02;73;Savoie;4.9
2019-03;73;Savoie;7.7
2019-04;73;Savoie;11.0
2019-05;73;Savoie;12.7
2019-06;73;Savoie;20.4
2019-07;73;Savoie;22.6
2019-08;73;Savoie;21.2
2019-09;73;Savoie;17.9
2019-10;73;Savoie;13.8
2019-11;73;Savoie;6.5
2019-12;73;Savoie;5.0
2020-01;73;Savoie;3.5
2020-02;73;Savoie;6.1
2020-03;73;Savoie;8.2
2020-04;73;Savoie;13.2
2020-05;73;Savoie;16.2
2020-06;73;Savoie;17.8
2020-07;73;Savoie;21.9
2020-08;73;Savoie;21.6
2020-09;73;Savoie;17.5
2020-10;73;Savoie;10.7
2020-11;73;Savoie;7.8
2020-12;73;Savoie;3.3
2021-01;73;Savoie;1.5
2021-02;73;Savoie;6.5
2021-03;73;Savoie;7.5
2021-04;73;Savoie;9.9
2021-05;73;Savoie;12.5
2021-06;73;Savoie;20.3
2021-07;73;Savoie;20.0
2021-08;73;Savoie;19.4
2021-09;73;Savoie;17.9
2021-10;73;Savoie;11.6
2021-11;73;Savoie;5.9
2021-12;73;Savoie;2.1
2022-01;73;Savoie;2.1
2022-02;73;Savoie;5.1
2022-03;73;Savoie;8.3
2022-04;73;Savoie;10.8
2022-05;73;Savoie;17.6
2022-06;73;Savoie;21.3
2022-07;73;Savoie;24.0
2022-08;73;Savoie;22.7
2022-09;73;Savoie;16.8
2022-10;73;Savoie;15.4
2022-11;73;Savoie;8.1
2022-12;73;Savoie;4.1
2023-01;73;Savoie;2.7
2023-02;73;Savoie;5.1
2023-03;73;Savoie;8.2
2023-04;73;Savoie;10.1
2023-05;73;Savoie;15.5
2023-06;73;Savoie;20.4
2023-07;73;Savoie;22.6
2023-08;73;Savoie;21.9
2023-09;73;Savoie;19.3
2023-10;73;Savoie;14.4
2023-11;73;Savoie;6.3
2023-12;73;Savoie;4.2
2024-01;73;Savoie;4.0
2024-02;73;Savoie;7.4
2024-03;73;Savoie;9.2
2024-04;73;Savoie;11.0
2024-05;73;Savoie;14.7
2024-06;73;Savoie;18.9
2024-07;73;Savoie;21.9
2024-08;73;Savoie;22.8
2024-09;73;Savoie;15.8
2024-10;73;Savoie;14.1
2024-11;73;Savoie;7.4
2024-12;73;Savoie;2.8
2025-01;73;Savoie;4.0
2025-02;73;Savoie;5.7
2025-03;73;Savoie;8.8
2025-04;73;Savoie;12.7
2025-05;73;Savoie;15.3
2025-06;73;Savoie;22.5
2025-07;73;Savoie;21.3
2025-08;73;Savoie;21.9
2025-09;73;Savoie;16.2
