Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;74;Haute-Savoie;5.2
2018-02;74;Haute-Savoie;-0.0
2018-03;74;Haute-Savoie;3.9
2018-04;74;Haute-Savoie;11.8
2018-05;74;Haute-Savoie;14.1
2018-06;74;Haute-Savoie;17.8
2018-07;74;Haute-Savoie;20.3
2018-08;74;Haute-Savoie;19.5
2018-09;74;Haute-Savoie;15.0
2018-10;74;Haute-Savoie;12.4
2018-11;74;Haute-Savoie;6.9
2018-12;74;Haute-Savoie;4.0
2019-01;74;Haute-Savoie;-0.1
2019-02;74;Haute-Savoie;4.5
2019-03;74;Haute-Savoie;5.8
2019-04;74;Haute-Savoie;8.1
2019-05;74;Haute-Savoie;10.1
2019-06;74;Haute-Savoie;18.5
2019-07;74;Haute-Savoie;20.7
2019-08;74;Haute-Savoie;19.5
2019-09;74;Haute-Savoie;16.1
2019-10;74;Haute-Savoie;12.6
2019-11;74;Haute-Savoie;5.1
2019-12;74;Haute-Savoie;4.6
2020-01;74;Haute-Savoie;3.3
2020-02;74;Haute-Savoie;5.2
2020-03;74;Haute-Savoie;6.0
2020-04;74;Haute-Savoie;11.2
2020-05;74;Haute-Savoie;13.9
2020-06;74;Haute-Savoie;15.7
2020-07;74;Haute-Savoie;19.7
2020-08;74;Haute-Savoie;19.5
2020-09;74;Haute-Savoie;15.9
2020-10;74;Haute-Savoie;9.2
2020-11;74;Haute-Savoie;7.8
2020-12;74;Haute-Savoie;2.4
2021-01;74;Haute-Savoie;0.3
2021-02;74;Haute-Savoie;5.7
2021-03;74;Haute-Savoie;5.3
2021-04;74;Haute-Savoie;7.1
2021-05;74;Haute-Savoie;10.1
2021-06;74;Haute-Savoie;17.8
2021-07;74;Haute-Savoie;18.3
2021-08;74;Haute-Savoie;17.6
2021-09;74;Haute-Savoie;16.3
2021-10;74;Haute-Savoie;10.7
2021-11;74;Haute-Savoie;5.1
2021-12;74;Haute-Savoie;2.7
2022-01;74;Haute-Savoie;2.0
2022-02;74;Haute-Savoie;3.9
2022-03;74;Haute-Savoie;6.4
2022-04;74;Haute-Savoie;8.7
2022-05;74;Haute-Savoie;15.3
2022-06;74;Haute-Savoie;19.6
2022-07;74;Haute-Savoie;21.5
2022-08;74;Haute-Savoie;20.7
2022-09;74;Haute-Savoie;14.7
2022-10;74;Haute-Savoie;14.7
2022-11;74;Haute-Savoie;7.1
2022-12;74;Haute-Savoie;4.0
2023-01;74;Haute-Savoie;1.9
2023-02;74;Haute-Savoie;4.3
2023-03;74;Haute-Savoie;6.6
2023-04;74;Haute-Savoie;7.7
2023-05;74;Haute-Savoie;13.0
2023-06;74;Haute-Savoie;18.4
2023-07;74;Haute-Savoie;20.2
2023-08;74;Haute-Savoie;20.1
2023-09;74;Haute-Savoie;18.5
2023-10;74;Haute-Savoie;13.8
2023-11;74;Haute-Savoie;5.6
2023-12;74;Haute-Savoie;4.3
2024-01;74;Haute-Savoie;3.7
2024-02;74;Haute-Savoie;6.3
2024-03;74;Haute-Savoie;7.2
2024-04;74;Haute-Savoie;8.7
2024-05;74;Haute-Savoie;12.3
2024-06;74;Haute-Savoie;16.8
2024-07;74;Haute-Savoie;20.3
2024-08;74;Haute-Savoie;21.3
2024-09;74;Haute-Savoie;14.0
2024-10;74;Haute-Savoie;12.9
2024-11;74;Haute-Savoie;7.4
2024-12;74;Haute-Savoie;2.9
2025-01;74;Haute-Savoie;3.5
2025-02;74;Haute-Savoie;4.5
2025-03;74;Haute-Savoie;6.8
2025-04;74;Haute-Savoie;10.6
2025-05;74;Haute-Savoie;13.0
2025-06;74;Haute-Savoie;20.4
2025-07;74;Haute-Savoie;18.9
2025-08;74;Haute-Savoie;20.1
2025-09;74;Haute-Savoie;15.0
