Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;75;Paris;8.2
2018-02;75;Paris;2.6
2018-03;75;Paris;7.9
2018-04;75;Paris;14.5
2018-05;75;Paris;17.6
2018-06;75;Paris;20.2
2018-07;75;Paris;24.4
2018-08;75;Paris;22.0
2018-09;75;Paris;18.0
2018-10;75;Paris;14.6
2018-11;75;Paris;8.6
2018-12;75;Paris;7.5
2019-01;75;Paris;4.9
2019-02;75;Paris;8.4
2019-03;75;Paris;10.5
2019-04;75;Paris;12.6
2019-05;75;Paris;14.3
2019-06;75;Paris;20.5
2019-07;75;Paris;22.9
2019-08;75;Paris;21.7
2019-09;75;Paris;17.9
2019-10;75;Paris;13.8
2019-11;75;Paris;8.6
2019-12;75;Paris;7.4
2020-01;75;Paris;7.1
2020-02;75;Paris;9.4
2020-03;75;Paris;9.3
2020-04;75;Paris;15.7
2020-05;75;Paris;16.8
2020-06;75;Paris;19.2
2020-07;75;Paris;21.1
2020-08;75;Paris;22.9
2020-09;75;Paris;19.3
2020-10;75;Paris;12.9
2020-11;75;Paris;10.4
2020-12;75;Paris;7.1
2021-01;75;Paris;5.2
2021-02;75;Paris;7.2
2021-03;75;Paris;9.3
2021-04;75;Paris;10.4
2021-05;75;Paris;13.7
2021-06;75;Paris;20.5
2021-07;75;Paris;20.5
2021-08;75;Paris;19.6
2021-09;75;Paris;19.3
2021-10;75;Paris;13.2
2021-11;75;Paris;7.6
2021-12;75;Paris;7.6
2022-01;75;Paris;5.6
2022-02;75;Paris;8.4
2022-03;75;Paris;10.7
2022-04;75;Paris;12.3
2022-05;75;Paris;17.8
2022-06;75;Paris;20.5
2022-07;75;Paris;23.0
2022-08;75;Paris;23.3
2022-09;75;Paris;17.5
2022-10;75;Paris;16.3
2022-11;75;Paris;10.2
2022-12;75;Paris;5.7
2023-01;75;Paris;6.5
2023-02;75;Paris;7.5
2023-03;75;Paris;10.0
2023-04;75;Paris;11.5
2023-05;75;Paris;16.1
2023-06;75;Paris;22.4
2023-07;75;Paris;21.2
2023-08;75;Paris;20.8
2023-09;75;Paris;21.4
2023-10;75;Paris;15.6
2023-11;75;Paris;9.8
2023-12;75;Paris;8.1
2024-01;75;Paris;5.3
2024-02;75;Paris;9.6
2024-03;75;Paris;10.8
2024-04;75;Paris;12.7
2024-05;75;Paris;16.2
2024-06;75;Paris;18.4
2024-07;75;Paris;21.0
2024-08;75;Paris;21.8
2024-09;75;Paris;16.9
2024-10;75;Paris;14.5
2024-11;75;Paris;8.9
2024-12;75;Paris;6.5
2025-01;75;Paris;5.0
2025-02;75;Paris;5.9
2025-03;75;Paris;10.2
2025-04;75;Paris;14.6
2025-05;75;Paris;16.8
2025-06;75;Paris;22.2
2025-07;75;Paris;21.8
2025-08;75;Paris;21.7
2025-09;75;Paris;16.8
