Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;76;Seine-Maritime;7.1
2018-02;76;Seine-Maritime;3.1
2018-03;76;Seine-Maritime;6.7
2018-04;76;Seine-Maritime;12.2
2018-05;76;Seine-Maritime;14.3
2018-06;76;Seine-Maritime;17.3
2018-07;76;Seine-Maritime;20.2
2018-08;76;Seine-Maritime;18.7
2018-09;76;Seine-Maritime;16.0
2018-10;76;Seine-Maritime;13.4
2018-11;76;Seine-Maritime;8.5
2018-12;76;Seine-Maritime;7.5
2019-01;76;Seine-Maritime;5.1
2019-02;76;Seine-Maritime;7.8
2019-03;76;Seine-Maritime;9.0
2019-04;76;Seine-Maritime;10.5
2019-05;76;Seine-Maritime;12.2
2019-06;76;Seine-Maritime;17.0
2019-07;76;Seine-Maritime;19.0
2019-08;76;Seine-Maritime;18.7
2019-09;76;Seine-Maritime;16.2
2019-10;76;Seine-Maritime;13.1
2019-11;76;Seine-Maritime;8.1
2019-12;76;Seine-Maritime;7.2
2020-01;76;Seine-Maritime;6.8
2020-02;76;Seine-Maritime;8.1
2020-03;76;Seine-Maritime;7.9
2020-04;76;Seine-Maritime;12.7
2020-05;76;Seine-Maritime;13.6
2020-06;76;Seine-Maritime;16.6
2020-07;76;Seine-Maritime;17.6
2020-08;76;Seine-Maritime;20.1
2020-09;76;Seine-Maritime;16.8
2020-10;76;Seine-Maritime;12.4
2020-11;76;Seine-Maritime;10.2
2020-12;76;Seine-Maritime;7.1
2021-01;76;Seine-Maritime;4.9
2021-02;76;Seine-Maritime;6.3
2021-03;76;Seine-Maritime;7.9
2021-04;76;Seine-Maritime;7.7
2021-05;76;Seine-Maritime;11.8
2021-06;76;Seine-Maritime;16.6
2021-07;76;Seine-Maritime;18.1
2021-08;76;Seine-Maritime;17.1
2021-09;76;Seine-Maritime;17.6
2021-10;76;Seine-Maritime;13.1
2021-11;76;Seine-Maritime;8.5
2021-12;76;Seine-Maritime;7.6
2022-01;76;Seine-Maritime;5.7
2022-02;76;Seine-Maritime;7.7
2022-03;76;Seine-Maritime;9.6
2022-04;76;Seine-Maritime;10.2
2022-05;76;Seine-Maritime;14.1
2022-06;76;Seine-Maritime;17.2
2022-07;76;Seine-Maritime;19.7
2022-08;76;Seine-Maritime;20.4
2022-09;76;Seine-Maritime;16.3
2022-10;76;Seine-Maritime;15.3
2022-11;76;Seine-Maritime;10.5
2022-12;76;Seine-Maritime;5.1
2023-01;76;Seine-Maritime;6.5
2023-02;76;Seine-Maritime;6.6
2023-03;76;Seine-Maritime;8.8
2023-04;76;Seine-Maritime;9.6
2023-05;76;Seine-Maritime;13.1
2023-06;76;Seine-Maritime;18.2
2023-07;76;Seine-Maritime;18.1
2023-08;76;Seine-Maritime;18.3
2023-09;76;Seine-Maritime;19.3
2023-10;76;Seine-Maritime;14.7
2023-11;76;Seine-Maritime;9.7
2023-12;76;Seine-Maritime;8.3
2024-01;76;Seine-Maritime;5.0
2024-02;76;Seine-Maritime;9.1
2024-03;76;Seine-Maritime;9.3
2024-04;76;Seine-Maritime;11.0
2024-05;76;Seine-Maritime;14.1
2024-06;76;Seine-Maritime;15.2
2024-07;76;Seine-Maritime;18.3
2024-08;76;Seine-Maritime;19.2
2024-09;76;Seine-Maritime;15.8
2024-10;76;Seine-Maritime;13.5
2024-11;76;Seine-Maritime;9.0
2024-12;76;Seine-Maritime;6.9
2025-01;76;Seine-Maritime;4.5
2025-02;76;Seine-Maritime;5.5
2025-03;76;Seine-Maritime;8.5
2025-04;76;Seine-Maritime;12.3
2025-05;76;Seine-Maritime;14.0
2025-06;76;Seine-Maritime;18.0
2025-07;76;Seine-Maritime;18.6
2025-08;76;Seine-Maritime;18.9
2025-09;76;Seine-Maritime;16.0
