Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;77;Seine-et-Marne;7.4
2018-02;77;Seine-et-Marne;1.6
2018-03;77;Seine-et-Marne;7.2
2018-04;77;Seine-et-Marne;13.2
2018-05;77;Seine-et-Marne;16.2
2018-06;77;Seine-et-Marne;19.3
2018-07;77;Seine-et-Marne;22.9
2018-08;77;Seine-et-Marne;20.8
2018-09;77;Seine-et-Marne;16.7
2018-10;77;Seine-et-Marne;13.7
2018-11;77;Seine-et-Marne;7.8
2018-12;77;Seine-et-Marne;6.3
2019-01;77;Seine-et-Marne;3.7
2019-02;77;Seine-et-Marne;7.0
2019-03;77;Seine-et-Marne;9.1
2019-04;77;Seine-et-Marne;11.0
2019-05;77;Seine-et-Marne;13.0
2019-06;77;Seine-et-Marne;19.2
2019-07;77;Seine-et-Marne;21.2
2019-08;77;Seine-et-Marne;20.3
2019-09;77;Seine-et-Marne;16.6
2019-10;77;Seine-et-Marne;13.4
2019-11;77;Seine-et-Marne;7.8
2019-12;77;Seine-et-Marne;6.6
2020-01;77;Seine-et-Marne;6.2
2020-02;77;Seine-et-Marne;8.6
2020-03;77;Seine-et-Marne;8.4
2020-04;77;Seine-et-Marne;13.9
2020-05;77;Seine-et-Marne;15.0
2020-06;77;Seine-et-Marne;17.9
2020-07;77;Seine-et-Marne;20.1
2020-08;77;Seine-et-Marne;22.0
2020-09;77;Seine-et-Marne;18.4
2020-10;77;Seine-et-Marne;12.4
2020-11;77;Seine-et-Marne;9.3
2020-12;77;Seine-et-Marne;6.1
2021-01;77;Seine-et-Marne;4.1
2021-02;77;Seine-et-Marne;6.6
2021-03;77;Seine-et-Marne;7.8
2021-04;77;Seine-et-Marne;8.8
2021-05;77;Seine-et-Marne;12.6
2021-06;77;Seine-et-Marne;19.6
2021-07;77;Seine-et-Marne;19.6
2021-08;77;Seine-et-Marne;18.6
2021-09;77;Seine-et-Marne;18.0
2021-10;77;Seine-et-Marne;12.3
2021-11;77;Seine-et-Marne;6.0
2021-12;77;Seine-et-Marne;6.4
2022-01;77;Seine-et-Marne;4.1
2022-02;77;Seine-et-Marne;7.0
2022-03;77;Seine-et-Marne;9.0
2022-04;77;Seine-et-Marne;10.9
2022-05;77;Seine-et-Marne;16.4
2022-06;77;Seine-et-Marne;19.1
2022-07;77;Seine-et-Marne;21.2
2022-08;77;Seine-et-Marne;22.0
2022-09;77;Seine-et-Marne;16.5
2022-10;77;Seine-et-Marne;15.6
2022-11;77;Seine-et-Marne;9.5
2022-12;77;Seine-et-Marne;4.9
2023-01;77;Seine-et-Marne;5.6
2023-02;77;Seine-et-Marne;6.1
2023-03;77;Seine-et-Marne;9.1
2023-04;77;Seine-et-Marne;10.1
2023-05;77;Seine-et-Marne;15.0
2023-06;77;Seine-et-Marne;20.8
2023-07;77;Seine-et-Marne;20.3
2023-08;77;Seine-et-Marne;19.6
2023-09;77;Seine-et-Marne;19.9
2023-10;77;Seine-et-Marne;14.5
2023-11;77;Seine-et-Marne;8.8
2023-12;77;Seine-et-Marne;6.9
2024-01;77;Seine-et-Marne;4.9
2024-02;77;Seine-et-Marne;8.6
2024-03;77;Seine-et-Marne;9.8
2024-04;77;Seine-et-Marne;11.6
2024-05;77;Seine-et-Marne;15.0
2024-06;77;Seine-et-Marne;17.5
2024-07;77;Seine-et-Marne;20.0
2024-08;77;Seine-et-Marne;20.6
2024-09;77;Seine-et-Marne;16.0
2024-10;77;Seine-et-Marne;13.8
2024-11;77;Seine-et-Marne;7.6
2024-12;77;Seine-et-Marne;5.3
2025-01;77;Seine-et-Marne;3.8
2025-02;77;Seine-et-Marne;4.9
2025-03;77;Seine-et-Marne;8.9
2025-04;77;Seine-et-Marne;12.7
2025-05;77;Seine-et-Marne;15.2
2025-06;77;Seine-et-Marne;20.7
2025-07;77;Seine-et-Marne;20.6
2025-08;77;Seine-et-Marne;20.3
2025-09;77;Seine-et-Marne;16.0
