Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;78;Yvelines;7.2
2018-02;78;Yvelines;1.3
2018-03;78;Yvelines;6.7
2018-04;78;Yvelines;13.1
2018-05;78;Yvelines;15.9
2018-06;78;Yvelines;18.9
2018-07;78;Yvelines;22.8
2018-08;78;Yvelines;20.6
2018-09;78;Yvelines;16.6
2018-10;78;Yvelines;13.4
2018-11;78;Yvelines;7.6
2018-12;78;Yvelines;6.4
2019-01;78;Yvelines;3.6
2019-02;78;Yvelines;7.0
2019-03;78;Yvelines;8.9
2019-04;78;Yvelines;10.7
2019-05;78;Yvelines;12.8
2019-06;78;Yvelines;18.9
2019-07;78;Yvelines;21.2
2019-08;78;Yvelines;20.1
2019-09;78;Yvelines;16.6
2019-10;78;Yvelines;13.0
2019-11;78;Yvelines;7.6
2019-12;78;Yvelines;6.3
2020-01;78;Yvelines;5.9
2020-02;78;Yvelines;8.3
2020-03;78;Yvelines;8.1
2020-04;78;Yvelines;13.9
2020-05;78;Yvelines;15.0
2020-06;78;Yvelines;17.7
2020-07;78;Yvelines;19.7
2020-08;78;Yvelines;21.5
2020-09;78;Yvelines;18.0
2020-10;78;Yvelines;12.0
2020-11;78;Yvelines;9.3
2020-12;78;Yvelines;6.1
2021-01;78;Yvelines;3.9
2021-02;78;Yvelines;6.2
2021-03;78;Yvelines;7.7
2021-04;78;Yvelines;8.6
2021-05;78;Yvelines;12.2
2021-06;78;Yvelines;18.8
2021-07;78;Yvelines;19.1
2021-08;78;Yvelines;18.2
2021-09;78;Yvelines;17.9
2021-10;78;Yvelines;11.9
2021-11;78;Yvelines;6.4
2021-12;78;Yvelines;6.4
2022-01;78;Yvelines;4.3
2022-02;78;Yvelines;6.9
2022-03;78;Yvelines;9.2
2022-04;78;Yvelines;10.6
2022-05;78;Yvelines;15.9
2022-06;78;Yvelines;18.9
2022-07;78;Yvelines;21.3
2022-08;78;Yvelines;21.8
2022-09;78;Yvelines;16.1
2022-10;78;Yvelines;15.2
2022-11;78;Yvelines;9.3
2022-12;78;Yvelines;4.6
2023-01;78;Yvelines;5.4
2023-02;78;Yvelines;6.0
2023-03;78;Yvelines;8.7
2023-04;78;Yvelines;9.9
2023-05;78;Yvelines;14.6
2023-06;78;Yvelines;20.8
2023-07;78;Yvelines;19.8
2023-08;78;Yvelines;19.6
2023-09;78;Yvelines;20.1
2023-10;78;Yvelines;14.5
2023-11;78;Yvelines;8.7
2023-12;78;Yvelines;7.2
2024-01;78;Yvelines;4.1
2024-02;78;Yvelines;8.5
2024-03;78;Yvelines;9.4
2024-04;78;Yvelines;11.3
2024-05;78;Yvelines;14.8
2024-06;78;Yvelines;17.1
2024-07;78;Yvelines;19.8
2024-08;78;Yvelines;20.4
2024-09;78;Yvelines;15.5
2024-10;78;Yvelines;13.3
2024-11;78;Yvelines;7.8
2024-12;78;Yvelines;5.4
2025-01;78;Yvelines;3.8
2025-02;78;Yvelines;4.7
2025-03;78;Yvelines;8.7
2025-04;78;Yvelines;13.0
2025-05;78;Yvelines;15.4
2025-06;78;Yvelines;20.7
2025-07;78;Yvelines;20.3
2025-08;78;Yvelines;20.3
2025-09;78;Yvelines;15.7
