Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;79;Deux-Sèvres;8.6
2018-02;79;Deux-Sèvres;3.7
2018-03;79;Deux-Sèvres;8.4
2018-04;79;Deux-Sèvres;13.2
2018-05;79;Deux-Sèvres;15.9
2018-06;79;Deux-Sèvres;20.1
2018-07;79;Deux-Sèvres;22.8
2018-08;79;Deux-Sèvres;22.0
2018-09;79;Deux-Sèvres;19.1
2018-10;79;Deux-Sèvres;14.4
2018-11;79;Deux-Sèvres;9.6
2018-12;79;Deux-Sèvres;8.0
2019-01;79;Deux-Sèvres;5.3
2019-02;79;Deux-Sèvres;8.6
2019-03;79;Deux-Sèvres;10.1
2019-04;79;Deux-Sèvres;11.5
2019-05;79;Deux-Sèvres;13.9
2019-06;79;Deux-Sèvres;19.3
2019-07;79;Deux-Sèvres;22.9
2019-08;79;Deux-Sèvres;20.7
2019-09;79;Deux-Sèvres;18.6
2019-10;79;Deux-Sèvres;14.9
2019-11;79;Deux-Sèvres;8.8
2019-12;79;Deux-Sèvres;8.7
2020-01;79;Deux-Sèvres;7.7
2020-02;79;Deux-Sèvres;9.6
2020-03;79;Deux-Sèvres;9.7
2020-04;79;Deux-Sèvres;14.8
2020-05;79;Deux-Sèvres;16.7
2020-06;79;Deux-Sèvres;17.4
2020-07;79;Deux-Sèvres;21.2
2020-08;79;Deux-Sèvres;21.7
2020-09;79;Deux-Sèvres;19.2
2020-10;79;Deux-Sèvres;13.0
2020-11;79;Deux-Sèvres;11.0
2020-12;79;Deux-Sèvres;7.1
2021-01;79;Deux-Sèvres;5.2
2021-02;79;Deux-Sèvres;8.5
2021-03;79;Deux-Sèvres;8.9
2021-04;79;Deux-Sèvres;11.1
2021-05;79;Deux-Sèvres;13.5
2021-06;79;Deux-Sèvres;19.6
2021-07;79;Deux-Sèvres;19.6
2021-08;79;Deux-Sèvres;19.3
2021-09;79;Deux-Sèvres;19.7
2021-10;79;Deux-Sèvres;13.5
2021-11;79;Deux-Sèvres;7.3
2021-12;79;Deux-Sèvres;7.2
2022-01;79;Deux-Sèvres;5.3
2022-02;79;Deux-Sèvres;7.9
2022-03;79;Deux-Sèvres;10.6
2022-04;79;Deux-Sèvres;12.0
2022-05;79;Deux-Sèvres;18.2
2022-06;79;Deux-Sèvres;20.7
2022-07;79;Deux-Sèvres;22.9
2022-08;79;Deux-Sèvres;24.2
2022-09;79;Deux-Sèvres;17.9
2022-10;79;Deux-Sèvres;17.5
2022-11;79;Deux-Sèvres;10.8
2022-12;79;Deux-Sèvres;6.7
2023-01;79;Deux-Sèvres;6.3
2023-02;79;Deux-Sèvres;6.9
2023-03;79;Deux-Sèvres;10.1
2023-04;79;Deux-Sèvres;11.7
2023-05;79;Deux-Sèvres;16.2
2023-06;79;Deux-Sèvres;21.6
2023-07;79;Deux-Sèvres;20.1
2023-08;79;Deux-Sèvres;21.2
2023-09;79;Deux-Sèvres;21.5
2023-10;79;Deux-Sèvres;16.4
2023-11;79;Deux-Sèvres;10.4
2023-12;79;Deux-Sèvres;8.2
2024-01;79;Deux-Sèvres;6.6
2024-02;79;Deux-Sèvres;9.5
2024-03;79;Deux-Sèvres;10.2
2024-04;79;Deux-Sèvres;12.4
2024-05;79;Deux-Sèvres;14.8
2024-06;79;Deux-Sèvres;18.4
2024-07;79;Deux-Sèvres;20.9
2024-08;79;Deux-Sèvres;20.7
2024-09;79;Deux-Sèvres;16.2
2024-10;79;Deux-Sèvres;14.6
2024-11;79;Deux-Sèvres;10.5
2024-12;79;Deux-Sèvres;6.9
2025-01;79;Deux-Sèvres;6.1
2025-02;79;Deux-Sèvres;7.6
2025-03;79;Deux-Sèvres;9.3
2025-04;79;Deux-Sèvres;13.2
2025-05;79;Deux-Sèvres;16.1
2025-06;79;Deux-Sèvres;21.8
2025-07;79;Deux-Sèvres;21.5
2025-08;79;Deux-Sèvres;22.6
2025-09;79;Deux-Sèvres;16.8
