Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;80;Somme;6.5
2018-02;80;Somme;1.9
2018-03;80;Somme;5.9
2018-04;80;Somme;12.5
2018-05;80;Somme;14.9
2018-06;80;Somme;17.2
2018-07;80;Somme;21.0
2018-08;80;Somme;19.0
2018-09;80;Somme;15.5
2018-10;80;Somme;12.6
2018-11;80;Somme;7.5
2018-12;80;Somme;6.5
2019-01;80;Somme;3.7
2019-02;80;Somme;6.9
2019-03;80;Somme;8.8
2019-04;80;Somme;10.4
2019-05;80;Somme;12.2
2019-06;80;Somme;17.7
2019-07;80;Somme;19.1
2019-08;80;Somme;18.9
2019-09;80;Somme;15.7
2019-10;80;Somme;12.7
2019-11;80;Somme;7.5
2019-12;80;Somme;6.2
2020-01;80;Somme;6.0
2020-02;80;Somme;7.6
2020-03;80;Somme;7.4
2020-04;80;Somme;12.6
2020-05;80;Somme;13.6
2020-06;80;Somme;16.9
2020-07;80;Somme;18.1
2020-08;80;Somme;20.8
2020-09;80;Somme;16.8
2020-10;80;Somme;11.8
2020-11;80;Somme;9.2
2020-12;80;Somme;5.9
2021-01;80;Somme;3.4
2021-02;80;Somme;5.2
2021-03;80;Somme;7.4
2021-04;80;Somme;7.3
2021-05;80;Somme;11.6
2021-06;80;Somme;17.3
2021-07;80;Somme;18.1
2021-08;80;Somme;16.9
2021-09;80;Somme;17.2
2021-10;80;Somme;11.7
2021-11;80;Somme;6.8
2021-12;80;Somme;6.3
2022-01;80;Somme;4.4
2022-02;80;Somme;6.8
2022-03;80;Somme;8.6
2022-04;80;Somme;9.8
2022-05;80;Somme;14.2
2022-06;80;Somme;17.1
2022-07;80;Somme;19.9
2022-08;80;Somme;21.2
2022-09;80;Somme;15.8
2022-10;80;Somme;14.6
2022-11;80;Somme;9.1
2022-12;80;Somme;4.1
2023-01;80;Somme;5.5
2023-02;80;Somme;6.0
2023-03;80;Somme;8.2
2023-04;80;Somme;9.0
2023-05;80;Somme;13.3
2023-06;80;Somme;19.1
2023-07;80;Somme;18.4
2023-08;80;Somme;18.4
2023-09;80;Somme;19.1
2023-10;80;Somme;14.2
2023-11;80;Somme;8.5
2023-12;80;Somme;7.4
2024-01;80;Somme;3.8
2024-02;80;Somme;8.8
2024-03;80;Somme;9.2
2024-04;80;Somme;10.9
2024-05;80;Somme;14.5
2024-06;80;Somme;15.5
2024-07;80;Somme;18.8
2024-08;80;Somme;19.6
2024-09;80;Somme;15.7
2024-10;80;Somme;12.8
2024-11;80;Somme;7.7
2024-12;80;Somme;5.9
2025-01;80;Somme;3.5
2025-02;80;Somme;4.5
2025-03;80;Somme;8.2
2025-04;80;Somme;12.3
2025-05;80;Somme;14.2
2025-06;80;Somme;18.3
2025-07;80;Somme;19.2
2025-08;80;Somme;19.1
2025-09;80;Somme;15.7
