Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;81;Tarn;8.5
2018-02;81;Tarn;4.2
2018-03;81;Tarn;9.0
2018-04;81;Tarn;14.4
2018-05;81;Tarn;15.9
2018-06;81;Tarn;21.0
2018-07;81;Tarn;24.0
2018-08;81;Tarn;23.9
2018-09;81;Tarn;21.2
2018-10;81;Tarn;14.8
2018-11;81;Tarn;10.7
2018-12;81;Tarn;7.7
2019-01;81;Tarn;3.8
2019-02;81;Tarn;8.3
2019-03;81;Tarn;9.8
2019-04;81;Tarn;11.9
2019-05;81;Tarn;14.4
2019-06;81;Tarn;21.1
2019-07;81;Tarn;24.5
2019-08;81;Tarn;23.2
2019-09;81;Tarn;20.0
2019-10;81;Tarn;16.0
2019-11;81;Tarn;9.2
2019-12;81;Tarn;8.6
2020-01;81;Tarn;7.2
2020-02;81;Tarn;9.1
2020-03;81;Tarn;10.1
2020-04;81;Tarn;15.0
2020-05;81;Tarn;18.2
2020-06;81;Tarn;19.4
2020-07;81;Tarn;23.7
2020-08;81;Tarn;24.2
2020-09;81;Tarn;19.7
2020-10;81;Tarn;13.0
2020-11;81;Tarn;11.5
2020-12;81;Tarn;6.9
2021-01;81;Tarn;4.2
2021-02;81;Tarn;10.2
2021-03;81;Tarn;9.7
2021-04;81;Tarn;11.7
2021-05;81;Tarn;14.6
2021-06;81;Tarn;21.1
2021-07;81;Tarn;21.5
2021-08;81;Tarn;21.3
2021-09;81;Tarn;20.9
2021-10;81;Tarn;14.0
2021-11;81;Tarn;7.9
2021-12;81;Tarn;7.4
2022-01;81;Tarn;3.2
2022-02;81;Tarn;8.3
2022-03;81;Tarn;10.8
2022-04;81;Tarn;12.3
2022-05;81;Tarn;19.5
2022-06;81;Tarn;23.5
2022-07;81;Tarn;25.5
2022-08;81;Tarn;26.3
2022-09;81;Tarn;20.6
2022-10;81;Tarn;19.1
2022-11;81;Tarn;11.7
2022-12;81;Tarn;8.2
2023-01;81;Tarn;5.2
2023-02;81;Tarn;6.2
2023-03;81;Tarn;11.0
2023-04;81;Tarn;13.0
2023-05;81;Tarn;17.1
2023-06;81;Tarn;22.1
2023-07;81;Tarn;23.8
2023-08;81;Tarn;24.4
2023-09;81;Tarn;22.5
2023-10;81;Tarn;18.1
2023-11;81;Tarn;10.0
2023-12;81;Tarn;7.5
2024-01;81;Tarn;6.9
2024-02;81;Tarn;9.4
2024-03;81;Tarn;11.8
2024-04;81;Tarn;13.1
2024-05;81;Tarn;16.0
2024-06;81;Tarn;20.5
2024-07;81;Tarn;23.5
2024-08;81;Tarn;23.8
2024-09;81;Tarn;17.6
2024-10;81;Tarn;16.8
2024-11;81;Tarn;12.0
2024-12;81;Tarn;6.3
2025-01;81;Tarn;6.5
2025-02;81;Tarn;8.4
2025-03;81;Tarn;10.5
2025-04;81;Tarn;14.3
2025-05;81;Tarn;17.1
2025-06;81;Tarn;23.9
2025-07;81;Tarn;23.1
2025-08;81;Tarn;24.6
2025-09;81;Tarn;18.3
