Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;82;Tarn-et-Garonne;9.0
2018-02;82;Tarn-et-Garonne;4.7
2018-03;82;Tarn-et-Garonne;9.4
2018-04;82;Tarn-et-Garonne;14.5
2018-05;82;Tarn-et-Garonne;16.4
2018-06;82;Tarn-et-Garonne;21.1
2018-07;82;Tarn-et-Garonne;24.2
2018-08;82;Tarn-et-Garonne;23.9
2018-09;82;Tarn-et-Garonne;20.9
2018-10;82;Tarn-et-Garonne;15.0
2018-11;82;Tarn-et-Garonne;10.1
2018-12;82;Tarn-et-Garonne;8.3
2019-01;82;Tarn-et-Garonne;4.5
2019-02;82;Tarn-et-Garonne;8.3
2019-03;82;Tarn-et-Garonne;10.6
2019-04;82;Tarn-et-Garonne;12.8
2019-05;82;Tarn-et-Garonne;15.2
2019-06;82;Tarn-et-Garonne;20.9
2019-07;82;Tarn-et-Garonne;24.8
2019-08;82;Tarn-et-Garonne;23.4
2019-09;82;Tarn-et-Garonne;20.4
2019-10;82;Tarn-et-Garonne;16.2
2019-11;82;Tarn-et-Garonne;9.3
2019-12;82;Tarn-et-Garonne;8.9
2020-01;82;Tarn-et-Garonne;7.3
2020-02;82;Tarn-et-Garonne;9.4
2020-03;82;Tarn-et-Garonne;10.3
2020-04;82;Tarn-et-Garonne;15.2
2020-05;82;Tarn-et-Garonne;18.5
2020-06;82;Tarn-et-Garonne;19.5
2020-07;82;Tarn-et-Garonne;23.4
2020-08;82;Tarn-et-Garonne;23.8
2020-09;82;Tarn-et-Garonne;19.7
2020-10;82;Tarn-et-Garonne;13.4
2020-11;82;Tarn-et-Garonne;11.2
2020-12;82;Tarn-et-Garonne;6.8
2021-01;82;Tarn-et-Garonne;4.9
2021-02;82;Tarn-et-Garonne;10.3
2021-03;82;Tarn-et-Garonne;10.0
2021-04;82;Tarn-et-Garonne;11.7
2021-05;82;Tarn-et-Garonne;14.8
2021-06;82;Tarn-et-Garonne;21.2
2021-07;82;Tarn-et-Garonne;21.5
2021-08;82;Tarn-et-Garonne;21.3
2021-09;82;Tarn-et-Garonne;20.8
2021-10;82;Tarn-et-Garonne;13.9
2021-11;82;Tarn-et-Garonne;8.1
2021-12;82;Tarn-et-Garonne;6.9
2022-01;82;Tarn-et-Garonne;3.6
2022-02;82;Tarn-et-Garonne;8.5
2022-03;82;Tarn-et-Garonne;11.0
2022-04;82;Tarn-et-Garonne;12.4
2022-05;82;Tarn-et-Garonne;19.5
2022-06;82;Tarn-et-Garonne;23.1
2022-07;82;Tarn-et-Garonne;25.0
2022-08;82;Tarn-et-Garonne;26.0
2022-09;82;Tarn-et-Garonne;20.4
2022-10;82;Tarn-et-Garonne;19.0
2022-11;82;Tarn-et-Garonne;11.4
2022-12;82;Tarn-et-Garonne;8.1
2023-01;82;Tarn-et-Garonne;5.7
2023-02;82;Tarn-et-Garonne;6.3
2023-03;82;Tarn-et-Garonne;11.3
2023-04;82;Tarn-et-Garonne;13.3
2023-05;82;Tarn-et-Garonne;17.4
2023-06;82;Tarn-et-Garonne;22.2
2023-07;82;Tarn-et-Garonne;23.5
2023-08;82;Tarn-et-Garonne;24.6
2023-09;82;Tarn-et-Garonne;22.5
2023-10;82;Tarn-et-Garonne;17.7
2023-11;82;Tarn-et-Garonne;10.7
2023-12;82;Tarn-et-Garonne;7.4
2024-01;82;Tarn-et-Garonne;6.7
2024-02;82;Tarn-et-Garonne;9.5
2024-03;82;Tarn-et-Garonne;11.8
2024-04;82;Tarn-et-Garonne;13.5
2024-05;82;Tarn-et-Garonne;15.8
2024-06;82;Tarn-et-Garonne;20.4
2024-07;82;Tarn-et-Garonne;23.4
2024-08;82;Tarn-et-Garonne;23.5
2024-09;82;Tarn-et-Garonne;17.4
2024-10;82;Tarn-et-Garonne;16.6
2024-11;82;Tarn-et-Garonne;11.2
2024-12;82;Tarn-et-Garonne;6.6
2025-01;82;Tarn-et-Garonne;6.3
2025-02;82;Tarn-et-Garonne;8.4
2025-03;82;Tarn-et-Garonne;10.8
2025-04;82;Tarn-et-Garonne;14.6
2025-05;82;Tarn-et-Garonne;17.3
2025-06;82;Tarn-et-Garonne;23.3
2025-07;82;Tarn-et-Garonne;23.1
2025-08;82;Tarn-et-Garonne;24.7
2025-09;82;Tarn-et-Garonne;18.3
