Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;83;Var;12.0
2018-02;83;Var;7.5
2018-03;83;Var;11.1
2018-04;83;Var;15.3
2018-05;83;Var;18.1
2018-06;83;Var;22.1
2018-07;83;Var;25.0
2018-08;83;Var;25.7
2018-09;83;Var;22.9
2018-10;83;Var;18.4
2018-11;83;Var;14.2
2018-12;83;Var;11.7
2019-01;83;Var;8.5
2019-02;83;Var;10.2
2019-03;83;Var;12.7
2019-04;83;Var;13.7
2019-05;83;Var;16.2
2019-06;83;Var;22.3
2019-07;83;Var;25.8
2019-08;83;Var;25.3
2019-09;83;Var;22.3
2019-10;83;Var;18.8
2019-11;83;Var;12.5
2019-12;83;Var;12.5
2020-01;83;Var;10.6
2020-02;83;Var;12.1
2020-03;83;Var;11.7
2020-04;83;Var;14.1
2020-05;83;Var;18.5
2020-06;83;Var;21.1
2020-07;83;Var;24.6
2020-08;83;Var;25.2
2020-09;83;Var;21.3
2020-10;83;Var;15.9
2020-11;83;Var;14.3
2020-12;83;Var;9.7
2021-01;83;Var;9.0
2021-02;83;Var;11.4
2021-03;83;Var;11.4
2021-04;83;Var;12.7
2021-05;83;Var;16.4
2021-06;83;Var;22.0
2021-07;83;Var;23.9
2021-08;83;Var;23.9
2021-09;83;Var;22.0
2021-10;83;Var;17.3
2021-11;83;Var;13.2
2021-12;83;Var;10.3
2022-01;83;Var;9.2
2022-02;83;Var;11.4
2022-03;83;Var;11.2
2022-04;83;Var;13.3
2022-05;83;Var;19.1
2022-06;83;Var;24.1
2022-07;83;Var;26.2
2022-08;83;Var;25.8
2022-09;83;Var;22.0
2022-10;83;Var;19.4
2022-11;83;Var;14.7
2022-12;83;Var;11.8
2023-01;83;Var;10.0
2023-02;83;Var;9.3
2023-03;83;Var;12.7
2023-04;83;Var;14.3
2023-05;83;Var;18.0
2023-06;83;Var;22.7
2023-07;83;Var;26.0
2023-08;83;Var;24.6
2023-09;83;Var;22.3
2023-10;83;Var;19.4
2023-11;83;Var;13.8
2023-12;83;Var;11.3
2024-01;83;Var;10.7
2024-02;83;Var;11.8
2024-03;83;Var;13.0
2024-04;83;Var;15.1
2024-05;83;Var;17.7
2024-06;83;Var;21.4
2024-07;83;Var;25.7
2024-08;83;Var;26.8
2024-09;83;Var;21.1
2024-10;83;Var;18.8
2024-11;83;Var;14.6
2024-12;83;Var;10.7
2025-01;83;Var;11.2
2025-02;83;Var;11.2
2025-03;83;Var;12.4
2025-04;83;Var;15.2
2025-05;83;Var;18.3
2025-06;83;Var;24.8
2025-07;83;Var;25.8
2025-08;83;Var;25.6
2025-09;83;Var;21.3
