Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;84;Vaucluse;9.3
2018-02;84;Vaucluse;4.8
2018-03;84;Vaucluse;10.2
2018-04;84;Vaucluse;15.5
2018-05;84;Vaucluse;18.0
2018-06;84;Vaucluse;22.2
2018-07;84;Vaucluse;26.2
2018-08;84;Vaucluse;25.0
2018-09;84;Vaucluse;21.5
2018-10;84;Vaucluse;16.1
2018-11;84;Vaucluse;11.4
2018-12;84;Vaucluse;7.1
2019-01;84;Vaucluse;5.7
2019-02;84;Vaucluse;8.2
2019-03;84;Vaucluse;11.4
2019-04;84;Vaucluse;12.9
2019-05;84;Vaucluse;16.7
2019-06;84;Vaucluse;23.0
2019-07;84;Vaucluse;26.4
2019-08;84;Vaucluse;25.3
2019-09;84;Vaucluse;21.3
2019-10;84;Vaucluse;16.9
2019-11;84;Vaucluse;9.6
2019-12;84;Vaucluse;8.6
2020-01;84;Vaucluse;7.2
2020-02;84;Vaucluse;9.4
2020-03;84;Vaucluse;10.8
2020-04;84;Vaucluse;14.2
2020-05;84;Vaucluse;19.0
2020-06;84;Vaucluse;21.6
2020-07;84;Vaucluse;25.4
2020-08;84;Vaucluse;25.0
2020-09;84;Vaucluse;20.8
2020-10;84;Vaucluse;13.8
2020-11;84;Vaucluse;11.1
2020-12;84;Vaucluse;6.9
2021-01;84;Vaucluse;5.4
2021-02;84;Vaucluse;9.2
2021-03;84;Vaucluse;9.9
2021-04;84;Vaucluse;12.1
2021-05;84;Vaucluse;16.2
2021-06;84;Vaucluse;23.2
2021-07;84;Vaucluse;24.6
2021-08;84;Vaucluse;23.7
2021-09;84;Vaucluse;21.1
2021-10;84;Vaucluse;14.4
2021-11;84;Vaucluse;9.0
2021-12;84;Vaucluse;6.0
2022-01;84;Vaucluse;5.1
2022-02;84;Vaucluse;8.8
2022-03;84;Vaucluse;10.0
2022-04;84;Vaucluse;13.5
2022-05;84;Vaucluse;20.2
2022-06;84;Vaucluse;24.9
2022-07;84;Vaucluse;27.3
2022-08;84;Vaucluse;26.4
2022-09;84;Vaucluse;20.2
2022-10;84;Vaucluse;18.3
2022-11;84;Vaucluse;11.4
2022-12;84;Vaucluse;7.4
2023-01;84;Vaucluse;6.5
2023-02;84;Vaucluse;7.7
2023-03;84;Vaucluse;11.0
2023-04;84;Vaucluse;13.9
2023-05;84;Vaucluse;18.4
2023-06;84;Vaucluse;23.5
2023-07;84;Vaucluse;26.0
2023-08;84;Vaucluse;25.1
2023-09;84;Vaucluse;22.1
2023-10;84;Vaucluse;18.2
2023-11;84;Vaucluse;10.2
2023-12;84;Vaucluse;7.7
2024-01;84;Vaucluse;7.0
2024-02;84;Vaucluse;10.0
2024-03;84;Vaucluse;12.2
2024-04;84;Vaucluse;13.9
2024-05;84;Vaucluse;16.9
2024-06;84;Vaucluse;21.8
2024-07;84;Vaucluse;25.5
2024-08;84;Vaucluse;26.6
2024-09;84;Vaucluse;19.6
2024-10;84;Vaucluse;17.5
2024-11;84;Vaucluse;11.0
2024-12;84;Vaucluse;6.1
2025-01;84;Vaucluse;7.5
2025-02;84;Vaucluse;8.8
2025-03;84;Vaucluse;10.9
2025-04;84;Vaucluse;15.1
2025-05;84;Vaucluse;18.3
2025-06;84;Vaucluse;25.5
2025-07;84;Vaucluse;25.5
2025-08;84;Vaucluse;25.8
2025-09;84;Vaucluse;19.1
