Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;85;Vendée;9.2
2018-02;85;Vendée;4.8
2018-03;85;Vendée;8.6
2018-04;85;Vendée;12.8
2018-05;85;Vendée;15.3
2018-06;85;Vendée;19.5
2018-07;85;Vendée;21.3
2018-08;85;Vendée;20.4
2018-09;85;Vendée;18.0
2018-10;85;Vendée;14.0
2018-11;85;Vendée;10.1
2018-12;85;Vendée;9.3
2019-01;85;Vendée;6.4
2019-02;85;Vendée;9.0
2019-03;85;Vendée;10.1
2019-04;85;Vendée;11.4
2019-05;85;Vendée;13.7
2019-06;85;Vendée;17.9
2019-07;85;Vendée;21.3
2019-08;85;Vendée;19.8
2019-09;85;Vendée;17.9
2019-10;85;Vendée;15.1
2019-11;85;Vendée;9.7
2019-12;85;Vendée;8.9
2020-01;85;Vendée;8.7
2020-02;85;Vendée;10.1
2020-03;85;Vendée;10.0
2020-04;85;Vendée;13.9
2020-05;85;Vendée;16.4
2020-06;85;Vendée;17.1
2020-07;85;Vendée;19.4
2020-08;85;Vendée;20.5
2020-09;85;Vendée;18.4
2020-10;85;Vendée;13.3
2020-11;85;Vendée;11.7
2020-12;85;Vendée;8.6
2021-01;85;Vendée;5.9
2021-02;85;Vendée;8.2
2021-03;85;Vendée;9.1
2021-04;85;Vendée;10.9
2021-05;85;Vendée;13.4
2021-06;85;Vendée;18.7
2021-07;85;Vendée;19.4
2021-08;85;Vendée;18.7
2021-09;85;Vendée;19.3
2021-10;85;Vendée;14.0
2021-11;85;Vendée;8.3
2021-12;85;Vendée;8.2
2022-01;85;Vendée;6.2
2022-02;85;Vendée;8.7
2022-03;85;Vendée;10.6
2022-04;85;Vendée;12.0
2022-05;85;Vendée;16.7
2022-06;85;Vendée;19.3
2022-07;85;Vendée;21.9
2022-08;85;Vendée;22.6
2022-09;85;Vendée;18.1
2022-10;85;Vendée;17.0
2022-11;85;Vendée;12.5
2022-12;85;Vendée;7.3
2023-01;85;Vendée;7.4
2023-02;85;Vendée;7.5
2023-03;85;Vendée;10.0
2023-04;85;Vendée;11.6
2023-05;85;Vendée;16.0
2023-06;85;Vendée;20.7
2023-07;85;Vendée;19.4
2023-08;85;Vendée;20.0
2023-09;85;Vendée;20.8
2023-10;85;Vendée;16.7
2023-11;85;Vendée;11.4
2023-12;85;Vendée;9.6
2024-01;85;Vendée;7.2
2024-02;85;Vendée;10.3
2024-03;85;Vendée;10.5
2024-04;85;Vendée;12.2
2024-05;85;Vendée;14.9
2024-06;85;Vendée;17.5
2024-07;85;Vendée;19.2
2024-08;85;Vendée;19.5
2024-09;85;Vendée;16.0
2024-10;85;Vendée;14.7
2024-11;85;Vendée;11.3
2024-12;85;Vendée;8.2
2025-01;85;Vendée;6.7
2025-02;85;Vendée;7.9
2025-03;85;Vendée;9.9
2025-04;85;Vendée;13.5
2025-05;85;Vendée;15.9
2025-06;85;Vendée;20.6
2025-07;85;Vendée;20.7
2025-08;85;Vendée;21.4
2025-09;85;Vendée;17.0
