Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;86;Vienne;8.2
2018-02;86;Vienne;2.7
2018-03;86;Vienne;8.2
2018-04;86;Vienne;13.3
2018-05;86;Vienne;15.5
2018-06;86;Vienne;19.5
2018-07;86;Vienne;22.4
2018-08;86;Vienne;21.3
2018-09;86;Vienne;18.2
2018-10;86;Vienne;14.0
2018-11;86;Vienne;8.9
2018-12;86;Vienne;7.2
2019-01;86;Vienne;4.5
2019-02;86;Vienne;7.9
2019-03;86;Vienne;9.6
2019-04;86;Vienne;11.2
2019-05;86;Vienne;13.4
2019-06;86;Vienne;19.4
2019-07;86;Vienne;22.5
2019-08;86;Vienne;20.5
2019-09;86;Vienne;17.9
2019-10;86;Vienne;14.4
2019-11;86;Vienne;8.2
2019-12;86;Vienne;7.8
2020-01;86;Vienne;7.1
2020-02;86;Vienne;9.0
2020-03;86;Vienne;9.0
2020-04;86;Vienne;14.2
2020-05;86;Vienne;15.9
2020-06;86;Vienne;17.2
2020-07;86;Vienne;20.7
2020-08;86;Vienne;21.6
2020-09;86;Vienne;18.7
2020-10;86;Vienne;12.6
2020-11;86;Vienne;10.3
2020-12;86;Vienne;6.6
2021-01;86;Vienne;4.4
2021-02;86;Vienne;8.0
2021-03;86;Vienne;8.2
2021-04;86;Vienne;10.1
2021-05;86;Vienne;13.0
2021-06;86;Vienne;19.3
2021-07;86;Vienne;19.2
2021-08;86;Vienne;18.8
2021-09;86;Vienne;18.9
2021-10;86;Vienne;12.7
2021-11;86;Vienne;6.7
2021-12;86;Vienne;6.4
2022-01;86;Vienne;4.3
2022-02;86;Vienne;7.7
2022-03;86;Vienne;10.1
2022-04;86;Vienne;11.5
2022-05;86;Vienne;17.1
2022-06;86;Vienne;20.3
2022-07;86;Vienne;22.1
2022-08;86;Vienne;23.0
2022-09;86;Vienne;17.4
2022-10;86;Vienne;17.1
2022-11;86;Vienne;10.2
2022-12;86;Vienne;6.1
2023-01;86;Vienne;5.9
2023-02;86;Vienne;6.3
2023-03;86;Vienne;9.7
2023-04;86;Vienne;11.0
2023-05;86;Vienne;15.3
2023-06;86;Vienne;21.3
2023-07;86;Vienne;20.2
2023-08;86;Vienne;21.0
2023-09;86;Vienne;21.5
2023-10;86;Vienne;16.0
2023-11;86;Vienne;9.8
2023-12;86;Vienne;7.8
2024-01;86;Vienne;5.9
2024-02;86;Vienne;9.0
2024-03;86;Vienne;9.7
2024-04;86;Vienne;12.1
2024-05;86;Vienne;14.4
2024-06;86;Vienne;18.0
2024-07;86;Vienne;20.9
2024-08;86;Vienne;21.0
2024-09;86;Vienne;15.9
2024-10;86;Vienne;14.3
2024-11;86;Vienne;9.6
2024-12;86;Vienne;6.3
2025-01;86;Vienne;5.4
2025-02;86;Vienne;6.7
2025-03;86;Vienne;9.0
2025-04;86;Vienne;12.9
2025-05;86;Vienne;15.6
2025-06;86;Vienne;21.7
2025-07;86;Vienne;21.5
2025-08;86;Vienne;21.8
2025-09;86;Vienne;16.3
