Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;87;Haute-Vienne;6.9
2018-02;87;Haute-Vienne;1.5
2018-03;87;Haute-Vienne;6.9
2018-04;87;Haute-Vienne;13.0
2018-05;87;Haute-Vienne;14.8
2018-06;87;Haute-Vienne;19.0
2018-07;87;Haute-Vienne;21.6
2018-08;87;Haute-Vienne;21.3
2018-09;87;Haute-Vienne;18.5
2018-10;87;Haute-Vienne;14.2
2018-11;87;Haute-Vienne;9.0
2018-12;87;Haute-Vienne;6.8
2019-01;87;Haute-Vienne;2.7
2019-02;87;Haute-Vienne;8.3
2019-03;87;Haute-Vienne;9.0
2019-04;87;Haute-Vienne;10.9
2019-05;87;Haute-Vienne;12.4
2019-06;87;Haute-Vienne;19.0
2019-07;87;Haute-Vienne;21.8
2019-08;87;Haute-Vienne;20.7
2019-09;87;Haute-Vienne;17.6
2019-10;87;Haute-Vienne;14.0
2019-11;87;Haute-Vienne;7.0
2019-12;87;Haute-Vienne;7.6
2020-01;87;Haute-Vienne;6.6
2020-02;87;Haute-Vienne;8.1
2020-03;87;Haute-Vienne;8.7
2020-04;87;Haute-Vienne;14.2
2020-05;87;Haute-Vienne;16.0
2020-06;87;Haute-Vienne;16.3
2020-07;87;Haute-Vienne;20.6
2020-08;87;Haute-Vienne;20.9
2020-09;87;Haute-Vienne;18.1
2020-10;87;Haute-Vienne;11.3
2020-11;87;Haute-Vienne;10.7
2020-12;87;Haute-Vienne;5.5
2021-01;87;Haute-Vienne;3.1
2021-02;87;Haute-Vienne;8.3
2021-03;87;Haute-Vienne;8.1
2021-04;87;Haute-Vienne;10.3
2021-05;87;Haute-Vienne;12.3
2021-06;87;Haute-Vienne;18.9
2021-07;87;Haute-Vienne;18.6
2021-08;87;Haute-Vienne;18.1
2021-09;87;Haute-Vienne;18.1
2021-10;87;Haute-Vienne;12.5
2021-11;87;Haute-Vienne;6.7
2021-12;87;Haute-Vienne;6.8
2022-01;87;Haute-Vienne;4.6
2022-02;87;Haute-Vienne;6.8
2022-03;87;Haute-Vienne;9.6
2022-04;87;Haute-Vienne;11.0
2022-05;87;Haute-Vienne;17.3
2022-06;87;Haute-Vienne;19.6
2022-07;87;Haute-Vienne;21.9
2022-08;87;Haute-Vienne;22.9
2022-09;87;Haute-Vienne;17.2
2022-10;87;Haute-Vienne;16.9
2022-11;87;Haute-Vienne;9.7
2022-12;87;Haute-Vienne;6.0
2023-01;87;Haute-Vienne;4.3
2023-02;87;Haute-Vienne;6.5
2023-03;87;Haute-Vienne;9.1
2023-04;87;Haute-Vienne;10.8
2023-05;87;Haute-Vienne;15.2
2023-06;87;Haute-Vienne;20.6
2023-07;87;Haute-Vienne;19.4
2023-08;87;Haute-Vienne;20.5
2023-09;87;Haute-Vienne;20.9
2023-10;87;Haute-Vienne;15.6
2023-11;87;Haute-Vienne;8.4
2023-12;87;Haute-Vienne;6.5
2024-01;87;Haute-Vienne;5.6
2024-02;87;Haute-Vienne;7.3
2024-03;87;Haute-Vienne;9.3
2024-04;87;Haute-Vienne;11.4
2024-05;87;Haute-Vienne;13.4
2024-06;87;Haute-Vienne;17.6
2024-07;87;Haute-Vienne;20.6
2024-08;87;Haute-Vienne;20.9
2024-09;87;Haute-Vienne;15.0
2024-10;87;Haute-Vienne;14.8
2024-11;87;Haute-Vienne;10.5
2024-12;87;Haute-Vienne;5.5
2025-01;87;Haute-Vienne;5.4
2025-02;87;Haute-Vienne;7.6
2025-03;87;Haute-Vienne;8.7
2025-04;87;Haute-Vienne;12.9
2025-05;87;Haute-Vienne;15.4
2025-06;87;Haute-Vienne;21.8
2025-07;87;Haute-Vienne;20.6
2025-08;87;Haute-Vienne;22.1
2025-09;87;Haute-Vienne;15.7
