Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;88;Vosges;6.5
2018-02;88;Vosges;0.7
2018-03;88;Vosges;5.2
2018-04;88;Vosges;13.4
2018-05;88;Vosges;16.5
2018-06;88;Vosges;19.4
2018-07;88;Vosges;22.1
2018-08;88;Vosges;21.6
2018-09;88;Vosges;17.2
2018-10;88;Vosges;12.1
2018-11;88;Vosges;7.1
2018-12;88;Vosges;4.9
2019-01;88;Vosges;1.8
2019-02;88;Vosges;5.7
2019-03;88;Vosges;8.4
2019-04;88;Vosges;10.1
2019-05;88;Vosges;12.5
2019-06;88;Vosges;20.3
2019-07;88;Vosges;21.6
2019-08;88;Vosges;20.6
2019-09;88;Vosges;16.2
2019-10;88;Vosges;13.3
2019-11;88;Vosges;6.5
2019-12;88;Vosges;5.0
2020-01;88;Vosges;4.3
2020-02;88;Vosges;7.6
2020-03;88;Vosges;7.4
2020-04;88;Vosges;13.0
2020-05;88;Vosges;14.3
2020-06;88;Vosges;17.9
2020-07;88;Vosges;20.6
2020-08;88;Vosges;21.9
2020-09;88;Vosges;17.5
2020-10;88;Vosges;11.5
2020-11;88;Vosges;7.7
2020-12;88;Vosges;4.9
2021-01;88;Vosges;2.3
2021-02;88;Vosges;5.5
2021-03;88;Vosges;6.6
2021-04;88;Vosges;8.5
2021-05;88;Vosges;12.1
2021-06;88;Vosges;20.0
2021-07;88;Vosges;19.2
2021-08;88;Vosges;18.2
2021-09;88;Vosges;17.0
2021-10;88;Vosges;11.1
2021-11;88;Vosges;4.6
2021-12;88;Vosges;4.3
2022-01;88;Vosges;2.3
2022-02;88;Vosges;5.9
2022-03;88;Vosges;7.8
2022-04;88;Vosges;10.0
2022-05;88;Vosges;16.5
2022-06;88;Vosges;20.4
2022-07;88;Vosges;21.6
2022-08;88;Vosges;22.2
2022-09;88;Vosges;15.8
2022-10;88;Vosges;15.3
2022-11;88;Vosges;8.8
2022-12;88;Vosges;3.8
2023-01;88;Vosges;4.9
2023-02;88;Vosges;4.9
2023-03;88;Vosges;8.2
2023-04;88;Vosges;9.7
2023-05;88;Vosges;15.4
2023-06;88;Vosges;20.8
2023-07;88;Vosges;20.8
2023-08;88;Vosges;20.8
2023-09;88;Vosges;19.7
2023-10;88;Vosges;14.1
2023-11;88;Vosges;7.8
2023-12;88;Vosges;5.9
2024-01;88;Vosges;3.1
2024-02;88;Vosges;8.2
2024-03;88;Vosges;9.3
2024-04;88;Vosges;11.2
2024-05;88;Vosges;15.3
2024-06;88;Vosges;18.4
2024-07;88;Vosges;20.7
2024-08;88;Vosges;21.7
2024-09;88;Vosges;16.3
2024-10;88;Vosges;13.3
2024-11;88;Vosges;6.5
2024-12;88;Vosges;3.5
2025-01;88;Vosges;3.6
2025-02;88;Vosges;4.3
2025-03;88;Vosges;7.9
2025-04;88;Vosges;11.8
2025-05;88;Vosges;15.1
2025-06;88;Vosges;21.2
2025-07;88;Vosges;20.3
2025-08;88;Vosges;20.7
2025-09;88;Vosges;16.0
