Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;89;Yonne;7.6
2018-02;89;Yonne;1.7
2018-03;89;Yonne;7.4
2018-04;89;Yonne;13.3
2018-05;89;Yonne;15.7
2018-06;89;Yonne;19.2
2018-07;89;Yonne;22.3
2018-08;89;Yonne;21.4
2018-09;89;Yonne;17.1
2018-10;89;Yonne;13.6
2018-11;89;Yonne;8.4
2018-12;89;Yonne;6.2
2019-01;89;Yonne;3.0
2019-02;89;Yonne;7.0
2019-03;89;Yonne;8.8
2019-04;89;Yonne;10.8
2019-05;89;Yonne;12.1
2019-06;89;Yonne;19.9
2019-07;89;Yonne;21.7
2019-08;89;Yonne;21.0
2019-09;89;Yonne;16.8
2019-10;89;Yonne;14.1
2019-11;89;Yonne;7.9
2019-12;89;Yonne;6.8
2020-01;89;Yonne;6.1
2020-02;89;Yonne;8.5
2020-03;89;Yonne;8.7
2020-04;89;Yonne;14.0
2020-05;89;Yonne;14.9
2020-06;89;Yonne;17.8
2020-07;89;Yonne;20.5
2020-08;89;Yonne;22.2
2020-09;89;Yonne;18.2
2020-10;89;Yonne;12.3
2020-11;89;Yonne;9.2
2020-12;89;Yonne;6.5
2021-01;89;Yonne;3.9
2021-02;89;Yonne;7.1
2021-03;89;Yonne;7.6
2021-04;89;Yonne;8.9
2021-05;89;Yonne;12.4
2021-06;89;Yonne;19.3
2021-07;89;Yonne;19.2
2021-08;89;Yonne;18.9
2021-09;89;Yonne;17.9
2021-10;89;Yonne;12.0
2021-11;89;Yonne;5.7
2021-12;89;Yonne;5.9
2022-01;89;Yonne;3.4
2022-02;89;Yonne;6.9
2022-03;89;Yonne;9.1
2022-04;89;Yonne;10.5
2022-05;89;Yonne;16.6
2022-06;89;Yonne;20.2
2022-07;89;Yonne;21.1
2022-08;89;Yonne;22.0
2022-09;89;Yonne;16.3
2022-10;89;Yonne;16.2
2022-11;89;Yonne;9.5
2022-12;89;Yonne;5.2
2023-01;89;Yonne;5.6
2023-02;89;Yonne;5.9
2023-03;89;Yonne;8.9
2023-04;89;Yonne;9.9
2023-05;89;Yonne;14.8
2023-06;89;Yonne;20.6
2023-07;89;Yonne;20.6
2023-08;89;Yonne;20.6
2023-09;89;Yonne;20.3
2023-10;89;Yonne;15.0
2023-11;89;Yonne;9.0
2023-12;89;Yonne;7.0
2024-01;89;Yonne;4.5
2024-02;89;Yonne;8.8
2024-03;89;Yonne;10.1
2024-04;89;Yonne;11.6
2024-05;89;Yonne;14.9
2024-06;89;Yonne;17.9
2024-07;89;Yonne;20.6
2024-08;89;Yonne;21.2
2024-09;89;Yonne;16.0
2024-10;89;Yonne;14.5
2024-11;89;Yonne;7.9
2024-12;89;Yonne;5.1
2025-01;89;Yonne;4.3
2025-02;89;Yonne;5.3
2025-03;89;Yonne;8.7
2025-04;89;Yonne;12.4
2025-05;89;Yonne;15.0
2025-06;89;Yonne;21.2
2025-07;89;Yonne;20.5
2025-08;89;Yonne;20.5
2025-09;89;Yonne;16.0
