Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;90;Territoire de Belfort;6.3
2018-02;90;Territoire de Belfort;0.3
2018-03;90;Territoire de Belfort;4.9
2018-04;90;Territoire de Belfort;13.8
2018-05;90;Territoire de Belfort;16.3
2018-06;90;Territoire de Belfort;19.3
2018-07;90;Territoire de Belfort;22.3
2018-08;90;Territoire de Belfort;22.3
2018-09;90;Territoire de Belfort;17.6
2018-10;90;Territoire de Belfort;12.0
2018-11;90;Territoire de Belfort;6.4
2018-12;90;Territoire de Belfort;4.8
2019-01;90;Territoire de Belfort;1.5
2019-02;90;Territoire de Belfort;5.5
2019-03;90;Territoire de Belfort;8.2
2019-04;90;Territoire de Belfort;9.8
2019-05;90;Territoire de Belfort;11.9
2019-06;90;Territoire de Belfort;19.9
2019-07;90;Territoire de Belfort;21.6
2019-08;90;Territoire de Belfort;20.3
2019-09;90;Territoire de Belfort;16.2
2019-10;90;Territoire de Belfort;12.7
2019-11;90;Territoire de Belfort;6.1
2019-12;90;Territoire de Belfort;4.8
2020-01;90;Territoire de Belfort;4.0
2020-02;90;Territoire de Belfort;7.4
2020-03;90;Territoire de Belfort;7.2
2020-04;90;Territoire de Belfort;13.1
2020-05;90;Territoire de Belfort;14.2
2020-06;90;Territoire de Belfort;17.8
2020-07;90;Territoire de Belfort;20.6
2020-08;90;Territoire de Belfort;21.5
2020-09;90;Territoire de Belfort;17.3
2020-10;90;Territoire de Belfort;10.9
2020-11;90;Territoire de Belfort;7.6
2020-12;90;Territoire de Belfort;4.2
2021-01;90;Territoire de Belfort;1.8
2021-02;90;Territoire de Belfort;5.1
2021-03;90;Territoire de Belfort;6.6
2021-04;90;Territoire de Belfort;8.3
2021-05;90;Territoire de Belfort;12.0
2021-06;90;Territoire de Belfort;20.0
2021-07;90;Territoire de Belfort;19.2
2021-08;90;Territoire de Belfort;18.3
2021-09;90;Territoire de Belfort;17.2
2021-10;90;Territoire de Belfort;10.9
2021-11;90;Territoire de Belfort;4.5
2021-12;90;Territoire de Belfort;3.9
2022-01;90;Territoire de Belfort;2.3
2022-02;90;Territoire de Belfort;5.7
2022-03;90;Territoire de Belfort;7.8
2022-04;90;Territoire de Belfort;10.1
2022-05;90;Territoire de Belfort;16.7
2022-06;90;Territoire de Belfort;20.6
2022-07;90;Territoire de Belfort;21.9
2022-08;90;Territoire de Belfort;22.0
2022-09;90;Territoire de Belfort;15.7
2022-10;90;Territoire de Belfort;15.6
2022-11;90;Territoire de Belfort;8.3
2022-12;90;Territoire de Belfort;3.5
2023-01;90;Territoire de Belfort;4.2
2023-02;90;Territoire de Belfort;4.8
2023-03;90;Territoire de Belfort;8.1
2023-04;90;Territoire de Belfort;9.5
2023-05;90;Territoire de Belfort;15.2
2023-06;90;Territoire de Belfort;20.6
2023-07;90;Territoire de Belfort;20.8
2023-08;90;Territoire de Belfort;21.0
2023-09;90;Territoire de Belfort;19.9
2023-10;90;Territoire de Belfort;14.4
2023-11;90;Territoire de Belfort;7.3
2023-12;90;Territoire de Belfort;5.5
2024-01;90;Territoire de Belfort;3.0
2024-02;90;Territoire de Belfort;8.1
2024-03;90;Territoire de Belfort;9.1
2024-04;90;Territoire de Belfort;10.8
2024-05;90;Territoire de Belfort;15.0
2024-06;90;Territoire de Belfort;18.7
2024-07;90;Territoire de Belfort;20.9
2024-08;90;Territoire de Belfort;22.0
2024-09;90;Territoire de Belfort;15.8
2024-10;90;Territoire de Belfort;13.3
2024-11;90;Territoire de Belfort;6.0
2024-12;90;Territoire de Belfort;3.3
2025-01;90;Territoire de Belfort;3.6
2025-02;90;Territoire de Belfort;4.4
2025-03;90;Territoire de Belfort;8.2
2025-04;90;Territoire de Belfort;11.8
2025-05;90;Territoire de Belfort;14.9
2025-06;90;Territoire de Belfort;21.1
2025-07;90;Territoire de Belfort;20.2
2025-08;90;Territoire de Belfort;20.6
2025-09;90;Territoire de Belfort;16.0
