Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;91;Essonne;7.6
2018-02;91;Essonne;1.7
2018-03;91;Essonne;7.3
2018-04;91;Essonne;13.5
2018-05;91;Essonne;16.3
2018-06;91;Essonne;19.5
2018-07;91;Essonne;23.6
2018-08;91;Essonne;21.2
2018-09;91;Essonne;17.1
2018-10;91;Essonne;14.1
2018-11;91;Essonne;8.1
2018-12;91;Essonne;6.7
2019-01;91;Essonne;4.2
2019-02;91;Essonne;7.4
2019-03;91;Essonne;9.4
2019-04;91;Essonne;11.5
2019-05;91;Essonne;13.5
2019-06;91;Essonne;19.8
2019-07;91;Essonne;22.4
2019-08;91;Essonne;21.1
2019-09;91;Essonne;17.5
2019-10;91;Essonne;13.6
2019-11;91;Essonne;8.1
2019-12;91;Essonne;6.9
2020-01;91;Essonne;6.5
2020-02;91;Essonne;9.0
2020-03;91;Essonne;8.9
2020-04;91;Essonne;14.8
2020-05;91;Essonne;16.0
2020-06;91;Essonne;18.6
2020-07;91;Essonne;20.9
2020-08;91;Essonne;22.6
2020-09;91;Essonne;19.0
2020-10;91;Essonne;12.7
2020-11;91;Essonne;9.8
2020-12;91;Essonne;6.6
2021-01;91;Essonne;4.5
2021-02;91;Essonne;6.9
2021-03;91;Essonne;8.5
2021-04;91;Essonne;9.5
2021-05;91;Essonne;13.1
2021-06;91;Essonne;19.9
2021-07;91;Essonne;20.1
2021-08;91;Essonne;19.3
2021-09;91;Essonne;18.9
2021-10;91;Essonne;12.8
2021-11;91;Essonne;6.8
2021-12;91;Essonne;6.9
2022-01;91;Essonne;4.7
2022-02;91;Essonne;7.5
2022-03;91;Essonne;9.8
2022-04;91;Essonne;11.5
2022-05;91;Essonne;17.1
2022-06;91;Essonne;19.8
2022-07;91;Essonne;22.3
2022-08;91;Essonne;23.0
2022-09;91;Essonne;17.1
2022-10;91;Essonne;15.9
2022-11;91;Essonne;9.9
2022-12;91;Essonne;5.2
2023-01;91;Essonne;6.0
2023-02;91;Essonne;6.6
2023-03;91;Essonne;9.4
2023-04;91;Essonne;10.7
2023-05;91;Essonne;15.3
2023-06;91;Essonne;21.6
2023-07;91;Essonne;21.0
2023-08;91;Essonne;20.5
2023-09;91;Essonne;21.0
2023-10;91;Essonne;15.3
2023-11;91;Essonne;9.4
2023-12;91;Essonne;7.7
2024-01;91;Essonne;4.7
2024-02;91;Essonne;9.1
2024-03;91;Essonne;10.2
2024-04;91;Essonne;12.1
2024-05;91;Essonne;15.4
2024-06;91;Essonne;17.6
2024-07;91;Essonne;20.5
2024-08;91;Essonne;20.9
2024-09;91;Essonne;16.5
2024-10;91;Essonne;14.2
2024-11;91;Essonne;8.4
2024-12;91;Essonne;6.0
2025-01;91;Essonne;4.4
2025-02;91;Essonne;5.4
2025-03;91;Essonne;9.6
2025-04;91;Essonne;13.7
2025-05;91;Essonne;16.0
2025-06;91;Essonne;21.5
2025-07;91;Essonne;21.4
2025-08;91;Essonne;21.3
2025-09;91;Essonne;16.7
