Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;92;Hauts-de-Seine;7.2
2018-02;92;Hauts-de-Seine;1.4
2018-03;92;Hauts-de-Seine;6.8
2018-04;92;Hauts-de-Seine;13.4
2018-05;92;Hauts-de-Seine;16.1
2018-06;92;Hauts-de-Seine;19.2
2018-07;92;Hauts-de-Seine;23.2
2018-08;92;Hauts-de-Seine;20.9
2018-09;92;Hauts-de-Seine;17.1
2018-10;92;Hauts-de-Seine;13.6
2018-11;92;Hauts-de-Seine;7.7
2018-12;92;Hauts-de-Seine;6.3
2019-01;92;Hauts-de-Seine;3.6
2019-02;92;Hauts-de-Seine;7.2
2019-03;92;Hauts-de-Seine;9.0
2019-04;92;Hauts-de-Seine;10.8
2019-05;92;Hauts-de-Seine;12.8
2019-06;92;Hauts-de-Seine;19.1
2019-07;92;Hauts-de-Seine;21.5
2019-08;92;Hauts-de-Seine;20.1
2019-09;92;Hauts-de-Seine;16.6
2019-10;92;Hauts-de-Seine;12.9
2019-11;92;Hauts-de-Seine;7.5
2019-12;92;Hauts-de-Seine;6.4
2020-01;92;Hauts-de-Seine;6.0
2020-02;92;Hauts-de-Seine;8.2
2020-03;92;Hauts-de-Seine;8.1
2020-04;92;Hauts-de-Seine;14.2
2020-05;92;Hauts-de-Seine;15.2
2020-06;92;Hauts-de-Seine;17.8
2020-07;92;Hauts-de-Seine;19.8
2020-08;92;Hauts-de-Seine;21.6
2020-09;92;Hauts-de-Seine;18.1
2020-10;92;Hauts-de-Seine;12.0
2020-11;92;Hauts-de-Seine;9.5
2020-12;92;Hauts-de-Seine;6.1
2021-01;92;Hauts-de-Seine;4.0
2021-02;92;Hauts-de-Seine;6.2
2021-03;92;Hauts-de-Seine;7.8
2021-04;92;Hauts-de-Seine;8.6
2021-05;92;Hauts-de-Seine;12.1
2021-06;92;Hauts-de-Seine;18.9
2021-07;92;Hauts-de-Seine;19.0
2021-08;92;Hauts-de-Seine;18.0
2021-09;92;Hauts-de-Seine;17.9
2021-10;92;Hauts-de-Seine;12.0
2021-11;92;Hauts-de-Seine;6.4
2021-12;92;Hauts-de-Seine;6.3
2022-01;92;Hauts-de-Seine;4.3
2022-02;92;Hauts-de-Seine;6.8
2022-03;92;Hauts-de-Seine;9.4
2022-04;92;Hauts-de-Seine;10.6
2022-05;92;Hauts-de-Seine;16.1
2022-06;92;Hauts-de-Seine;19.0
2022-07;92;Hauts-de-Seine;21.6
2022-08;92;Hauts-de-Seine;21.9
2022-09;92;Hauts-de-Seine;16.1
2022-10;92;Hauts-de-Seine;15.2
2022-11;92;Hauts-de-Seine;9.2
2022-12;92;Hauts-de-Seine;4.6
2023-01;92;Hauts-de-Seine;5.3
2023-02;92;Hauts-de-Seine;6.1
2023-03;92;Hauts-de-Seine;8.6
2023-04;92;Hauts-de-Seine;9.8
2023-05;92;Hauts-de-Seine;14.6
2023-06;92;Hauts-de-Seine;20.8
2023-07;92;Hauts-de-Seine;19.7
2023-08;92;Hauts-de-Seine;19.5
2023-09;92;Hauts-de-Seine;20.4
2023-10;92;Hauts-de-Seine;14.6
2023-11;92;Hauts-de-Seine;8.6
2023-12;92;Hauts-de-Seine;7.1
2024-01;92;Hauts-de-Seine;4.1
2024-02;92;Hauts-de-Seine;8.5
2024-03;92;Hauts-de-Seine;9.4
2024-04;92;Hauts-de-Seine;11.1
2024-05;92;Hauts-de-Seine;14.7
2024-06;92;Hauts-de-Seine;16.9
2024-07;92;Hauts-de-Seine;19.7
2024-08;92;Hauts-de-Seine;20.4
2024-09;92;Hauts-de-Seine;15.5
2024-10;92;Hauts-de-Seine;13.3
2024-11;92;Hauts-de-Seine;7.7
2024-12;92;Hauts-de-Seine;5.3
2025-01;92;Hauts-de-Seine;3.8
2025-02;92;Hauts-de-Seine;4.7
2025-03;92;Hauts-de-Seine;8.8
2025-04;92;Hauts-de-Seine;13.1
2025-05;92;Hauts-de-Seine;15.4
2025-06;92;Hauts-de-Seine;20.7
2025-07;92;Hauts-de-Seine;20.1
2025-08;92;Hauts-de-Seine;20.3
2025-09;92;Hauts-de-Seine;15.7
