Année-Mois;Code INSEE département;Département;TMoy (°C)
2018-01;93;Seine-Saint-Denis;7.9
2018-02;93;Seine-Saint-Denis;1.8
2018-03;93;Seine-Saint-Denis;7.3
2018-04;93;Seine-Saint-Denis;13.6
2018-05;93;Seine-Saint-Denis;16.4
2018-06;93;Seine-Saint-Denis;19.2
2018-07;93;Seine-Saint-Denis;23.4
2018-08;93;Seine-Saint-Denis;21.0
2018-09;93;Seine-Saint-Denis;16.9
2018-10;93;Seine-Saint-Denis;14.0
2018-11;93;Seine-Saint-Denis;8.1
2018-12;93;Seine-Saint-Denis;7.1
2019-01;93;Seine-Saint-Denis;4.4
2019-02;93;Seine-Saint-Denis;7.5
2019-03;93;Seine-Saint-Denis;9.7
2019-04;93;Seine-Saint-Denis;11.5
2019-05;93;Seine-Saint-Denis;13.4
2019-06;93;Seine-Saint-Denis;19.6
2019-07;93;Seine-Saint-Denis;21.7
2019-08;93;Seine-Saint-Denis;20.8
2019-09;93;Seine-Saint-Denis;17.2
2019-10;93;Seine-Saint-Denis;13.6
2019-11;93;Seine-Saint-Denis;8.2
2019-12;93;Seine-Saint-Denis;6.9
2020-01;93;Seine-Saint-Denis;6.4
2020-02;93;Seine-Saint-Denis;9.0
2020-03;93;Seine-Saint-Denis;8.5
2020-04;93;Seine-Saint-Denis;14.3
2020-05;93;Seine-Saint-Denis;15.6
2020-06;93;Seine-Saint-Denis;18.8
2020-07;93;Seine-Saint-Denis;20.4
2020-08;93;Seine-Saint-Denis;22.5
2020-09;93;Seine-Saint-Denis;18.8
2020-10;93;Seine-Saint-Denis;13.0
2020-11;93;Seine-Saint-Denis;9.8
2020-12;93;Seine-Saint-Denis;6.9
2021-01;93;Seine-Saint-Denis;4.7
2021-02;93;Seine-Saint-Denis;6.6
2021-03;93;Seine-Saint-Denis;8.3
2021-04;93;Seine-Saint-Denis;9.0
2021-05;93;Seine-Saint-Denis;13.0
2021-06;93;Seine-Saint-Denis;19.5
2021-07;93;Seine-Saint-Denis;19.8
2021-08;93;Seine-Saint-Denis;19.0
2021-09;93;Seine-Saint-Denis;18.5
2021-10;93;Seine-Saint-Denis;12.4
2021-11;93;Seine-Saint-Denis;6.9
2021-12;93;Seine-Saint-Denis;7.2
2022-01;93;Seine-Saint-Denis;4.8
2022-02;93;Seine-Saint-Denis;7.7
2022-03;93;Seine-Saint-Denis;9.6
2022-04;93;Seine-Saint-Denis;11.1
2022-05;93;Seine-Saint-Denis;16.7
2022-06;93;Seine-Saint-Denis;19.6
2022-07;93;Seine-Saint-Denis;21.8
2022-08;93;Seine-Saint-Denis;22.7
2022-09;93;Seine-Saint-Denis;17.0
2022-10;93;Seine-Saint-Denis;16.0
2022-11;93;Seine-Saint-Denis;9.9
2022-12;93;Seine-Saint-Denis;5.2
2023-01;93;Seine-Saint-Denis;6.2
2023-02;93;Seine-Saint-Denis;6.6
2023-03;93;Seine-Saint-Denis;9.6
2023-04;93;Seine-Saint-Denis;10.6
2023-05;93;Seine-Saint-Denis;15.1
2023-06;93;Seine-Saint-Denis;21.2
2023-07;93;Seine-Saint-Denis;20.5
2023-08;93;Seine-Saint-Denis;20.2
2023-09;93;Seine-Saint-Denis;20.5
2023-10;93;Seine-Saint-Denis;15.0
2023-11;93;Seine-Saint-Denis;9.4
2023-12;93;Seine-Saint-Denis;8.0
2024-01;93;Seine-Saint-Denis;4.7
2024-02;93;Seine-Saint-Denis;9.4
2024-03;93;Seine-Saint-Denis;10.1
2024-04;93;Seine-Saint-Denis;12.2
2024-05;93;Seine-Saint-Denis;15.6
2024-06;93;Seine-Saint-Denis;17.6
2024-07;93;Seine-Saint-Denis;20.4
2024-08;93;Seine-Saint-Denis;21.4
2024-09;93;Seine-Saint-Denis;16.5
2024-10;93;Seine-Saint-Denis;13.9
2024-11;93;Seine-Saint-Denis;8.5
2024-12;93;Seine-Saint-Denis;6.2
2025-01;93;Seine-Saint-Denis;4.5
2025-02;93;Seine-Saint-Denis;5.2
2025-03;93;Seine-Saint-Denis;9.1
2025-04;93;Seine-Saint-Denis;13.5
2025-05;93;Seine-Saint-Denis;16.0
2025-06;93;Seine-Saint-Denis;21.4
2025-07;93;Seine-Saint-Denis;21.0
2025-08;93;Seine-Saint-Denis;21.1
2025-09;93;Seine-Saint-Denis;16.8
